
                  X              E33_3D5N5F        E33_3D10N5F        E33_3D15N5F        E33_3D20N5F        E33_3D25N5F        E33_3D30N5F        E33_3D35N5F        E33_3D40N5F   
              489.118            -43.2219E-06       -86.4437E-06      -129.666E-06       -172.887E-06       -216.109E-06       -259.331E-06       -302.553E-06       -345.775E-06  
              489.706            -42.9438E-06       -85.8877E-06      -128.831E-06       -171.775E-06       -214.719E-06       -257.663E-06       -300.607E-06       -343.551E-06  
              490.294            -42.6624E-06       -85.3247E-06      -127.987E-06       -170.649E-06       -213.312E-06       -255.974E-06       -298.637E-06       -341.299E-06  
              490.882            -42.3813E-06       -84.7626E-06      -127.144E-06       -169.525E-06       -211.906E-06       -254.288E-06       -296.669E-06       -339.05E-06   
              491.471            -42.0974E-06       -84.1949E-06      -126.292E-06       -168.39E-06        -210.487E-06       -252.585E-06       -294.682E-06       -336.779E-06  
              492.059            -41.8138E-06       -83.6276E-06      -125.441E-06       -167.255E-06       -209.069E-06       -250.883E-06       -292.697E-06       -334.51E-06   
              492.647            -41.5279E-06       -83.0558E-06      -124.584E-06       -166.112E-06       -207.64E-06        -249.167E-06       -290.695E-06       -332.223E-06  
              493.235            -41.2421E-06       -82.4843E-06      -123.726E-06       -164.969E-06       -206.211E-06       -247.453E-06       -288.695E-06       -329.937E-06  
              493.824            -40.9545E-06       -81.909E-06       -122.863E-06       -163.818E-06       -204.772E-06       -245.727E-06       -286.681E-06       -327.636E-06  
              494.412            -40.6669E-06       -81.3337E-06      -122.001E-06       -162.667E-06       -203.334E-06       -244.001E-06       -284.668E-06       -325.335E-06  
              495.               -40.3777E-06       -80.7554E-06      -121.133E-06       -161.511E-06       -201.889E-06       -242.266E-06       -282.644E-06       -323.022E-06  
              495.588            -40.0886E-06       -80.1771E-06      -120.266E-06       -160.354E-06       -200.443E-06       -240.531E-06       -280.62E-06        -320.708E-06  
              496.176            -39.7981E-06       -79.5962E-06      -119.394E-06       -159.192E-06       -198.991E-06       -238.789E-06       -278.587E-06       -318.385E-06  
              496.765            -39.5076E-06       -79.0153E-06      -118.523E-06       -158.031E-06       -197.538E-06       -237.046E-06       -276.553E-06       -316.061E-06  
              497.353            -39.2161E-06       -78.4322E-06      -117.648E-06       -156.864E-06       -196.081E-06       -235.297E-06       -274.513E-06       -313.729E-06  
              497.941            -38.9245E-06       -77.849E-06       -116.774E-06       -155.698E-06       -194.623E-06       -233.547E-06       -272.472E-06       -311.396E-06  
              498.529            -38.632E-06        -77.2641E-06      -115.896E-06       -154.528E-06       -193.16E-06        -231.792E-06       -270.424E-06       -309.056E-06  
              499.118            -38.3395E-06       -76.679E-06       -115.018E-06       -153.358E-06       -191.697E-06       -230.037E-06       -268.376E-06       -306.716E-06  
              499.706            -38.0462E-06       -76.0925E-06      -114.139E-06       -152.185E-06       -190.231E-06       -228.277E-06       -266.324E-06       -304.37E-06   
              500.294            -37.7529E-06       -75.5058E-06      -113.259E-06       -151.012E-06       -188.764E-06       -226.517E-06       -264.27E-06        -302.023E-06  
              500.882            -37.459E-06        -74.9179E-06      -112.377E-06       -149.836E-06       -187.295E-06       -224.754E-06       -262.213E-06       -299.672E-06  
              501.471            -37.1649E-06       -74.3298E-06      -111.495E-06       -148.66E-06        -185.825E-06       -222.99E-06        -260.154E-06       -297.319E-06  
              502.059            -36.8704E-06       -73.7408E-06      -110.611E-06       -147.482E-06       -184.352E-06       -221.222E-06       -258.093E-06       -294.963E-06  
              502.647            -36.5758E-06       -73.1516E-06      -109.727E-06       -146.303E-06       -182.879E-06       -219.455E-06       -256.031E-06       -292.606E-06  
              503.235            -36.2808E-06       -72.5616E-06      -108.842E-06       -145.123E-06       -181.404E-06       -217.685E-06       -253.966E-06       -290.246E-06  
              503.824            -35.9857E-06       -71.9714E-06      -107.957E-06       -143.943E-06       -179.929E-06       -215.914E-06       -251.9E-06         -287.886E-06  
              504.412            -35.6903E-06       -71.3806E-06      -107.071E-06       -142.761E-06       -178.451E-06       -214.142E-06       -249.832E-06       -285.522E-06  
              505.               -35.3948E-06       -70.7896E-06      -106.184E-06       -141.579E-06       -176.974E-06       -212.369E-06       -247.764E-06       -283.158E-06  
              505.588            -35.099E-06        -70.198E-06       -105.297E-06       -140.396E-06       -175.495E-06       -210.594E-06       -245.693E-06       -280.792E-06  
              506.176            -34.8032E-06       -69.6063E-06      -104.41E-06        -139.213E-06       -174.016E-06       -208.819E-06       -243.622E-06       -278.425E-06  
              506.765            -34.5071E-06       -69.0142E-06      -103.521E-06       -138.028E-06       -172.536E-06       -207.043E-06       -241.55E-06        -276.057E-06  
              507.353            -34.211E-06        -68.4219E-06      -102.633E-06       -136.844E-06       -171.055E-06       -205.266E-06       -239.477E-06       -273.688E-06  
              507.941            -33.9147E-06       -67.8293E-06      -101.744E-06       -135.659E-06       -169.573E-06       -203.488E-06       -237.403E-06       -271.317E-06  
              508.529            -33.6183E-06       -67.2366E-06      -100.855E-06       -134.473E-06       -168.091E-06       -201.71E-06        -235.328E-06       -268.946E-06  
              509.118            -33.3218E-06       -66.6435E-06       -99.9653E-06      -133.287E-06       -166.609E-06       -199.931E-06       -233.252E-06       -266.574E-06  
              509.706            -33.0252E-06       -66.0504E-06       -99.0755E-06      -132.101E-06       -165.126E-06       -198.151E-06       -231.176E-06       -264.201E-06  
              510.294            -32.7285E-06       -65.4569E-06       -98.1854E-06      -130.914E-06       -163.642E-06       -196.371E-06       -229.099E-06       -261.828E-06  
              510.882            -32.4317E-06       -64.8634E-06       -97.2952E-06      -129.727E-06       -162.159E-06       -194.59E-06        -227.022E-06       -259.454E-06  
              511.471            -32.1349E-06       -64.2697E-06       -96.4046E-06      -128.539E-06       -160.674E-06       -192.809E-06       -224.944E-06       -257.079E-06  
              512.059            -31.838E-06        -63.6759E-06       -95.5139E-06      -127.352E-06       -159.19E-06        -191.028E-06       -222.866E-06       -254.704E-06  
              512.647            -31.541E-06        -63.082E-06        -94.623E-06       -126.164E-06       -157.705E-06       -189.246E-06       -220.787E-06       -252.328E-06  
              513.235            -31.244E-06        -62.488E-06        -93.732E-06       -124.976E-06       -156.22E-06        -187.464E-06       -218.708E-06       -249.952E-06  
              513.824            -30.9469E-06       -61.8938E-06       -92.8407E-06      -123.788E-06       -154.735E-06       -185.681E-06       -216.628E-06       -247.575E-06  
              514.412            -30.6498E-06       -61.2996E-06       -91.9494E-06      -122.599E-06       -153.249E-06       -183.899E-06       -214.549E-06       -245.198E-06  
              515.               -30.3526E-06       -60.7052E-06       -91.0579E-06      -121.41E-06        -151.763E-06       -182.116E-06       -212.468E-06       -242.821E-06  
              515.588            -30.0554E-06       -60.1108E-06       -90.1663E-06      -120.222E-06       -150.277E-06       -180.333E-06       -210.388E-06       -240.443E-06  
              516.176            -29.7582E-06       -59.5164E-06       -89.2746E-06      -119.033E-06       -148.791E-06       -178.549E-06       -208.307E-06       -238.065E-06  
              516.765            -29.4609E-06       -58.9218E-06       -88.3827E-06      -117.844E-06       -147.305E-06       -176.765E-06       -206.226E-06       -235.687E-06  
              517.353            -29.1636E-06       -58.3272E-06       -87.4908E-06      -116.654E-06       -145.818E-06       -174.982E-06       -204.145E-06       -233.309E-06  
              517.941            -28.8663E-06       -57.7326E-06       -86.5989E-06      -115.465E-06       -144.331E-06       -173.198E-06       -202.064E-06       -230.93E-06   
              518.529            -28.5689E-06       -57.1379E-06       -85.7068E-06      -114.276E-06       -142.845E-06       -171.414E-06       -199.983E-06       -228.551E-06  
              519.118            -28.2716E-06       -56.5431E-06       -84.8147E-06      -113.086E-06       -141.358E-06       -169.629E-06       -197.901E-06       -226.172E-06  
              519.706            -27.9742E-06       -55.9483E-06       -83.9225E-06      -111.897E-06       -139.871E-06       -167.845E-06       -195.819E-06       -223.793E-06  
              520.294            -27.6768E-06       -55.3535E-06       -83.0303E-06      -110.707E-06       -138.384E-06       -166.061E-06       -193.737E-06       -221.414E-06  
              520.882            -27.3793E-06       -54.7587E-06       -82.138E-06       -109.517E-06       -136.897E-06       -164.276E-06       -191.655E-06       -219.035E-06  
              521.471            -27.0819E-06       -54.1638E-06       -81.2457E-06      -108.328E-06       -135.409E-06       -162.491E-06       -189.573E-06       -216.655E-06  
              522.059            -26.7844E-06       -53.5688E-06       -80.3533E-06      -107.138E-06       -133.922E-06       -160.707E-06       -187.491E-06       -214.275E-06  
              522.647            -26.487E-06        -52.9739E-06       -79.4609E-06      -105.948E-06       -132.435E-06       -158.922E-06       -185.409E-06       -211.896E-06  
              523.235            -26.1895E-06       -52.3789E-06       -78.5684E-06      -104.758E-06       -130.947E-06       -157.137E-06       -183.326E-06       -209.516E-06  
              523.824            -25.892E-06        -51.7839E-06       -77.6759E-06      -103.568E-06       -129.46E-06        -155.352E-06       -181.244E-06       -207.136E-06  
              524.412            -25.5945E-06       -51.1889E-06       -76.7834E-06      -102.378E-06       -127.972E-06       -153.567E-06       -179.161E-06       -204.756E-06  
              525.               -25.297E-06        -50.5939E-06       -75.8909E-06      -101.188E-06       -126.485E-06       -151.782E-06       -177.079E-06       -202.376E-06  
              525.588            -24.9994E-06       -49.9989E-06       -74.9983E-06       -99.9977E-06      -124.997E-06       -149.997E-06       -174.996E-06       -199.995E-06  
              526.176            -24.7019E-06       -49.4038E-06       -74.1057E-06       -98.8076E-06      -123.51E-06        -148.211E-06       -172.913E-06       -197.615E-06  
              526.765            -24.4044E-06       -48.8088E-06       -73.2131E-06       -97.6175E-06      -122.022E-06       -146.426E-06       -170.831E-06       -195.235E-06  
              527.353            -24.1068E-06       -48.2137E-06       -72.3205E-06       -96.4274E-06      -120.534E-06       -144.641E-06       -168.748E-06       -192.855E-06  
              527.941            -23.8093E-06       -47.6186E-06       -71.4279E-06       -95.2372E-06      -119.046E-06       -142.856E-06       -166.665E-06       -190.474E-06  
              528.529            -23.5118E-06       -47.0235E-06       -70.5352E-06       -94.047E-06       -117.559E-06       -141.07E-06        -164.582E-06       -188.094E-06  
              529.118            -23.2142E-06       -46.4284E-06       -69.6426E-06       -92.8568E-06      -116.071E-06       -139.285E-06       -162.499E-06       -185.714E-06  
              529.706            -22.9167E-06       -45.8333E-06       -68.75E-06         -91.6666E-06      -114.583E-06       -137.5E-06         -160.417E-06       -183.333E-06  
              530.294            -22.6191E-06       -45.2382E-06       -67.8573E-06       -90.4764E-06      -113.096E-06       -135.715E-06       -158.334E-06       -180.953E-06  
              530.882            -22.3216E-06       -44.6431E-06       -66.9647E-06       -89.2862E-06      -111.608E-06       -133.929E-06       -156.251E-06       -178.572E-06  
              531.471            -22.024E-06        -44.048E-06        -66.072E-06        -88.096E-06       -110.12E-06        -132.144E-06       -154.168E-06       -176.192E-06  
              532.059            -21.7264E-06       -43.4529E-06       -65.1793E-06       -86.9057E-06      -108.632E-06       -130.359E-06       -152.085E-06       -173.811E-06  
              532.647            -21.4289E-06       -42.8578E-06       -64.2867E-06       -85.7156E-06      -107.144E-06       -128.573E-06       -150.002E-06       -171.431E-06  
              533.235            -21.1313E-06       -42.2627E-06       -63.394E-06        -84.5253E-06      -105.657E-06       -126.788E-06       -147.919E-06       -169.051E-06  
              533.824            -20.8338E-06       -41.6675E-06       -62.5013E-06       -83.3351E-06      -104.169E-06       -125.003E-06       -145.836E-06       -166.67E-06   
              534.412            -20.5362E-06       -41.0724E-06       -61.6087E-06       -82.1449E-06      -102.681E-06       -123.217E-06       -143.754E-06       -164.29E-06   
              535.               -20.2387E-06       -40.4773E-06       -60.716E-06        -80.9547E-06      -101.193E-06       -121.432E-06       -141.671E-06       -161.909E-06  
              535.588            -19.9411E-06       -39.8822E-06       -59.8234E-06       -79.7645E-06       -99.7056E-06      -119.647E-06       -139.588E-06       -159.529E-06  
              536.176            -19.6436E-06       -39.2872E-06       -58.9307E-06       -78.5743E-06       -98.2179E-06      -117.861E-06       -137.505E-06       -157.149E-06  
              536.765            -19.346E-06        -38.6921E-06       -58.0381E-06       -77.3841E-06       -96.7302E-06      -116.076E-06       -135.422E-06       -154.768E-06  
              537.353            -19.0485E-06       -38.097E-06        -57.1455E-06       -76.194E-06        -95.2425E-06      -114.291E-06       -133.34E-06        -152.388E-06  
