
                  X              E33_3D5N5F        E33_3D10N5F        E33_3D15N5F        E33_3D20N5F        E33_3D25N5F        E33_3D30N5F        E33_3D35N5F        E33_3D40N5F   

                0.                72.1095E-09       144.219E-09        216.328E-09        288.438E-09        360.547E-09        432.657E-09        504.766E-09        576.876E-09  
              586.956E-03        108.032E-09        216.064E-09        324.097E-09        432.129E-09        540.161E-09        648.193E-09        756.226E-09        864.258E-09  
                1.17391          223.29E-09         446.581E-09        669.871E-09        893.161E-09          1.11645E-06        1.33974E-06        1.56303E-06        1.78632E-06
                1.76087          357.373E-09        714.747E-09          1.07212E-06        1.42949E-06        1.78687E-06        2.14424E-06        2.50161E-06        2.85899E-06
                2.34783          509.853E-09          1.01971E-06        1.52956E-06        2.03941E-06        2.54926E-06        3.05911E-06        3.56897E-06        4.07882E-06
                2.93478          660.497E-09          1.32099E-06        1.98149E-06        2.64199E-06        3.30248E-06        3.96298E-06        4.62348E-06        5.28397E-06
                3.52174          792.918E-09          1.58584E-06        2.37876E-06        3.17167E-06        3.96459E-06        4.75751E-06        5.55043E-06        6.34335E-06
                4.1087           934.244E-09          1.86849E-06        2.80273E-06        3.73698E-06        4.67122E-06        5.60546E-06        6.53971E-06        7.47395E-06
                4.69565            1.06535E-06        2.1307E-06         3.19605E-06        4.2614E-06         5.32676E-06        6.39211E-06        7.45746E-06        8.52281E-06
                5.28261            1.2025E-06         2.40499E-06        3.60749E-06        4.80999E-06        6.01249E-06        7.21498E-06        8.41748E-06        9.61998E-06
                5.86957            1.33388E-06        2.66775E-06        4.00163E-06        5.3355E-06         6.66938E-06        8.00325E-06        9.33713E-06       10.671E-06  
                6.45652            1.46812E-06        2.93624E-06        4.40436E-06        5.87248E-06        7.3406E-06         8.80872E-06       10.2768E-06        11.745E-06  
                7.04348            1.5995E-06         3.19899E-06        4.79849E-06        6.39799E-06        7.99749E-06        9.59698E-06       11.1965E-06        12.796E-06  
                7.63043            1.73175E-06        3.4635E-06         5.19525E-06        6.927E-06          8.65875E-06       10.3905E-06        12.1222E-06        13.854E-06  
                8.21739            1.86308E-06        3.72616E-06        5.58924E-06        7.45233E-06        9.31541E-06       11.1785E-06        13.0416E-06        14.9047E-06 
                8.80435            1.99417E-06        3.98834E-06        5.98251E-06        7.97668E-06        9.97085E-06       11.965E-06         13.9592E-06        15.9534E-06 
                9.3913             2.12547E-06        4.25094E-06        6.37641E-06        8.50189E-06       10.6274E-06        12.7528E-06        14.8783E-06        17.0038E-06 
                9.97826            2.256E-06          4.512E-06          6.768E-06          9.024E-06         11.28E-06          13.536E-06         15.792E-06         18.048E-06  
               10.5652             2.38727E-06        4.77454E-06        7.16181E-06        9.54907E-06       11.9363E-06        14.3236E-06        16.7109E-06        19.0981E-06 
               11.1522             2.51761E-06        5.03521E-06        7.55282E-06       10.0704E-06        12.588E-06         15.1056E-06        17.6232E-06        20.1409E-06 
               11.7391             2.64885E-06        5.29769E-06        7.94654E-06       10.5954E-06        13.2442E-06        15.8931E-06        18.5419E-06        21.1908E-06 
               12.3261             2.7792E-06         5.5584E-06         8.33761E-06       11.1168E-06        13.896E-06         16.6752E-06        19.4544E-06        22.2336E-06 
               12.913              2.91042E-06        5.82084E-06        8.73126E-06       11.6417E-06        14.5521E-06        17.4625E-06        20.3729E-06        23.2834E-06 
               13.5                3.04089E-06        6.08179E-06        9.12268E-06       12.1636E-06        15.2045E-06        18.2454E-06        21.2863E-06        24.3272E-06 
               14.087              3.1721E-06         6.34421E-06        9.51631E-06       12.6884E-06        15.8605E-06        19.0326E-06        22.2047E-06        25.3768E-06 
               14.6739             3.30273E-06        6.60547E-06        9.9082E-06        13.2109E-06        16.5137E-06        19.8164E-06        23.1191E-06        26.4219E-06 
               15.2609             3.43395E-06        6.86791E-06       10.3019E-06        13.7358E-06        17.1698E-06        20.6037E-06        24.0377E-06        27.4716E-06 
               15.8478             3.56474E-06        7.12948E-06       10.6942E-06        14.259E-06         17.8237E-06        21.3884E-06        24.9532E-06        28.5179E-06 
               16.4348             3.69598E-06        7.39196E-06       11.0879E-06        14.7839E-06        18.4799E-06        22.1759E-06        25.8719E-06        29.5679E-06 
               17.0217             3.82691E-06        7.65382E-06       11.4807E-06        15.3076E-06        19.1346E-06        22.9615E-06        26.7884E-06        30.6153E-06 
               17.6087             3.95819E-06        7.91638E-06       11.8746E-06        15.8328E-06        19.7909E-06        23.7491E-06        27.7073E-06        31.6655E-06 
               18.1957             4.08924E-06        8.17848E-06       12.2677E-06        16.357E-06         20.4462E-06        24.5354E-06        28.6247E-06        32.7139E-06 
               18.7826             4.22056E-06        8.44112E-06       12.6617E-06        16.8822E-06        21.1028E-06        25.3234E-06        29.5439E-06        33.7645E-06 
               19.3696             4.35172E-06        8.70343E-06       13.0551E-06        17.4069E-06        21.7586E-06        26.1103E-06        30.462E-06         34.8137E-06 
               19.9565             4.48308E-06        8.96615E-06       13.4492E-06        17.9323E-06        22.4154E-06        26.8985E-06        31.3815E-06        35.8646E-06 
               20.5435             4.61432E-06        9.22864E-06       13.843E-06         18.4573E-06        23.0716E-06        27.6859E-06        32.3002E-06        36.9146E-06 
               21.1304             4.74572E-06        9.49145E-06       14.2372E-06        18.9829E-06        23.7286E-06        28.4743E-06        33.2201E-06        37.9658E-06 
               21.7174             4.87704E-06        9.75408E-06       14.6311E-06        19.5082E-06        24.3852E-06        29.2623E-06        34.1393E-06        39.0163E-06 
               22.3043             5.00848E-06       10.017E-06         15.0254E-06        20.0339E-06        25.0424E-06        30.0509E-06        35.0594E-06        40.0679E-06 
               22.8913             5.13986E-06       10.2797E-06        15.4196E-06        20.5595E-06        25.6993E-06        30.8392E-06        35.979E-06         41.1189E-06 
               23.4783             5.27134E-06       10.5427E-06        15.814E-06         21.0854E-06        26.3567E-06        31.628E-06         36.8994E-06        42.1707E-06 
               24.0652             5.40277E-06       10.8055E-06        16.2083E-06        21.6111E-06        27.0139E-06        32.4166E-06        37.8194E-06        43.2222E-06 
               24.6522             5.53428E-06       11.0686E-06        16.6028E-06        22.1371E-06        27.6714E-06        33.2057E-06        38.74E-06          44.2742E-06 
               25.2391             5.66575E-06       11.3315E-06        16.9973E-06        22.663E-06         28.3288E-06        33.9945E-06        39.6603E-06        45.326E-06  
               25.8261             5.79729E-06       11.5946E-06        17.3919E-06        23.1892E-06        28.9865E-06        34.7837E-06        40.581E-06         46.3783E-06 
               26.413              5.9288E-06        11.8576E-06        17.7864E-06        23.7152E-06        29.644E-06         35.5728E-06        41.5016E-06        47.4304E-06 
               27.                 6.06036E-06       12.1207E-06        18.1811E-06        24.2415E-06        30.3018E-06        36.3622E-06        42.4226E-06        48.4829E-06 
               27.587              6.19191E-06       12.3838E-06        18.5757E-06        24.7676E-06        30.9595E-06        37.1514E-06        43.3433E-06        49.5352E-06 
               28.1739             6.32349E-06       12.647E-06         18.9705E-06        25.294E-06         31.6174E-06        37.9409E-06        44.2644E-06        50.5879E-06 
               28.7609             6.45506E-06       12.9101E-06        19.3652E-06        25.8202E-06        32.2753E-06        38.7303E-06        45.1854E-06        51.6405E-06 
               29.3478             6.58666E-06       13.1733E-06        19.76E-06          26.3466E-06        32.9333E-06        39.52E-06          46.1066E-06        52.6933E-06 
               29.9348             6.71825E-06       13.4365E-06        20.1547E-06        26.873E-06         33.5912E-06        40.3095E-06        47.0277E-06        53.746E-06  
               30.5217             6.84987E-06       13.6997E-06        20.5496E-06        27.3995E-06        34.2493E-06        41.0992E-06        47.9491E-06        54.7989E-06 
               31.1087             6.98147E-06       13.9629E-06        20.9444E-06        27.9259E-06        34.9074E-06        41.8888E-06        48.8703E-06        55.8518E-06 
               31.6957             7.11311E-06       14.2262E-06        21.3393E-06        28.4524E-06        35.5655E-06        42.6786E-06        49.7917E-06        56.9048E-06 
               32.2826             7.24473E-06       14.4895E-06        21.7342E-06        28.9789E-06        36.2236E-06        43.4684E-06        50.7131E-06        57.9578E-06 
               32.8696             7.37637E-06       14.7527E-06        22.1291E-06        29.5055E-06        36.8819E-06        44.2582E-06        51.6346E-06        59.011E-06  
               33.4565             7.50801E-06       15.016E-06         22.524E-06         30.032E-06         37.54E-06          45.0481E-06        52.5561E-06        60.0641E-06 
               34.0435             7.63966E-06       15.2793E-06        22.919E-06         30.5587E-06        38.1983E-06        45.838E-06         53.4776E-06        61.1173E-06 
               34.6304             7.77131E-06       15.5426E-06        23.3139E-06        31.0852E-06        38.8566E-06        46.6279E-06        54.3992E-06        62.1705E-06 
               35.2174             7.90297E-06       15.8059E-06        23.7089E-06        31.6119E-06        39.5149E-06        47.4178E-06        55.3208E-06        63.2238E-06 
               35.8043             8.03463E-06       16.0693E-06        24.1039E-06        32.1385E-06        40.1731E-06        48.2078E-06        56.2424E-06        64.277E-06  
               36.3913             8.1663E-06        16.3326E-06        24.4989E-06        32.6652E-06        40.8315E-06        48.9978E-06        57.1641E-06        65.3304E-06 
               36.9783             8.29796E-06       16.5959E-06        24.8939E-06        33.1919E-06        41.4898E-06        49.7878E-06        58.0858E-06        66.3837E-06 
               37.5652             8.42964E-06       16.8593E-06        25.2889E-06        33.7186E-06        42.1482E-06        50.5778E-06        59.0075E-06        67.4371E-06 
               38.1522             8.56131E-06       17.1226E-06        25.6839E-06        34.2453E-06        42.8066E-06        51.3679E-06        59.9292E-06        68.4905E-06 
               38.7391             8.69299E-06       17.386E-06         26.079E-06         34.772E-06         43.465E-06         52.158E-06         60.8509E-06        69.5439E-06 
               39.3261             8.82467E-06       17.6493E-06        26.474E-06         35.2987E-06        44.1233E-06        52.948E-06         61.7727E-06        70.5974E-06 
               39.913              8.95635E-06       17.9127E-06        26.8691E-06        35.8254E-06        44.7818E-06        53.7381E-06        62.6945E-06        71.6508E-06 
               40.5                9.08804E-06       18.1761E-06        27.2641E-06        36.3521E-06        45.4402E-06        54.5282E-06        63.6163E-06        72.7043E-06 
               41.087              9.21972E-06       18.4394E-06        27.6592E-06        36.8789E-06        46.0986E-06        55.3183E-06        64.5381E-06        73.7578E-06 
               41.6739             9.35141E-06       18.7028E-06        28.0542E-06        37.4056E-06        46.757E-06         56.1085E-06        65.4599E-06        74.8113E-06 
               42.2609             9.4831E-06        18.9662E-06        28.4493E-06        37.9324E-06        47.4155E-06        56.8986E-06        66.3817E-06        75.8648E-06 
               42.8478             9.61479E-06       19.2296E-06        28.8444E-06        38.4592E-06        48.074E-06         57.6887E-06        67.3035E-06        76.9183E-06 
               43.4348             9.74648E-06       19.493E-06         29.2395E-06        38.9859E-06        48.7324E-06        58.4789E-06        68.2254E-06        77.9719E-06 
               44.0217             9.87818E-06       19.7564E-06        29.6345E-06        39.5127E-06        49.3909E-06        59.2691E-06        69.1472E-06        79.0254E-06 
               44.6087            10.0099E-06        20.0197E-06        30.0296E-06        40.0395E-06        50.0494E-06        60.0592E-06        70.0691E-06        80.079E-06  
               45.1957            10.1416E-06        20.2831E-06        30.4247E-06        40.5663E-06        50.7078E-06        60.8494E-06        70.991E-06         81.1325E-06 
               45.7826            10.2733E-06        20.5465E-06        30.8198E-06        41.0931E-06        51.3663E-06        61.6396E-06        71.9128E-06        82.1861E-06 
               46.3696            10.405E-06         20.8099E-06        31.2149E-06        41.6198E-06        52.0248E-06        62.4298E-06        72.8347E-06        83.2397E-06 
               46.9565            10.5367E-06        21.0733E-06        31.61E-06          42.1466E-06        52.6833E-06        63.22E-06          73.7566E-06        84.2933E-06 
               47.5435            10.6684E-06        21.3367E-06        32.0051E-06        42.6734E-06        53.3418E-06        64.0101E-06        74.6785E-06        85.3469E-06 
               48.1304            10.8001E-06        21.6001E-06        32.4002E-06        43.2002E-06        54.0003E-06        64.8003E-06        75.6004E-06        86.4005E-06 
               48.7174            10.9318E-06        21.8635E-06        32.7953E-06        43.727E-06         54.6588E-06        65.5905E-06        76.5223E-06        87.4541E-06 
               49.3043            11.0635E-06        22.1269E-06        33.1904E-06        44.2538E-06        55.3173E-06        66.3807E-06        77.4442E-06        88.5077E-06 
               49.8913            11.1952E-06        22.3903E-06        33.5855E-06        44.7806E-06        55.9758E-06        67.1709E-06        78.3661E-06        89.5613E-06 
               50.4783            11.3269E-06        22.6537E-06        33.9806E-06        45.3074E-06        56.6343E-06        67.9612E-06        79.288E-06         90.6149E-06 
               51.0652            11.4586E-06        22.9171E-06        34.3757E-06        45.8342E-06        57.2928E-06        68.7514E-06        80.2099E-06        91.6685E-06 
               51.6522            11.5903E-06        23.1805E-06        34.7708E-06        46.361E-06         57.9513E-06        69.5416E-06        81.1318E-06        92.7221E-06 
               52.2391            11.722E-06         23.4439E-06        35.1659E-06        46.8879E-06        58.6098E-06        70.3318E-06        82.0537E-06        93.7757E-06 
               52.8261            11.8537E-06        23.7073E-06        35.561E-06         47.4147E-06        59.2683E-06        71.122E-06         82.9757E-06        94.8293E-06 
               53.413             11.9854E-06        23.9707E-06        35.9561E-06        47.9415E-06        59.9268E-06        71.9122E-06        83.8976E-06        95.8829E-06 
               54.                12.1171E-06        24.2341E-06        36.3512E-06        48.4683E-06        60.5854E-06        72.7024E-06        84.8195E-06        96.9366E-06 
               54.587             12.2488E-06        24.4975E-06        36.7463E-06        48.9951E-06        61.2439E-06        73.4926E-06        85.7414E-06        97.9902E-06 
               55.1739            12.3805E-06        24.761E-06         37.1414E-06        49.5219E-06        61.9024E-06        74.2829E-06        86.6633E-06        99.0438E-06 
               55.7609            12.5122E-06        25.0244E-06        37.5365E-06        50.0487E-06        62.5609E-06        75.0731E-06        87.5852E-06       100.097E-06  
               56.3478            12.6439E-06        25.2878E-06        37.9316E-06        50.5755E-06        63.2194E-06        75.8633E-06        88.5072E-06       101.151E-06  
               56.9348            12.7756E-06        25.5512E-06        38.3267E-06        51.1023E-06        63.8779E-06        76.6535E-06        89.4291E-06       102.205E-06  
               57.5217            12.9073E-06        25.8146E-06        38.7219E-06        51.6291E-06        64.5364E-06        77.4437E-06        90.351E-06        103.258E-06  
               58.1087            13.039E-06         26.078E-06         39.117E-06         52.1559E-06        65.1949E-06        78.2339E-06        91.2729E-06       104.312E-06  
               58.6957            13.1707E-06        26.3414E-06        39.5121E-06        52.6828E-06        65.8534E-06        79.0241E-06        92.1948E-06       105.366E-06  
               59.2826            13.3024E-06        26.6048E-06        39.9072E-06        53.2096E-06        66.5119E-06        79.8143E-06        93.1167E-06       106.419E-06  
               59.8696            13.4341E-06        26.8682E-06        40.3023E-06        53.7364E-06        67.1705E-06        80.6046E-06        94.0386E-06       107.473E-06  
               60.4565            13.5658E-06        27.1316E-06        40.6974E-06        54.2632E-06        67.829E-06         81.3948E-06        94.9605E-06       108.526E-06  
               61.0435            13.6975E-06        27.395E-06         41.0925E-06        54.79E-06          68.4875E-06        82.185E-06         95.8825E-06       109.58E-06   
               61.6304            13.8292E-06        27.6584E-06        41.4876E-06        55.3168E-06        69.146E-06         82.9752E-06        96.8044E-06       110.634E-06  
               62.2174            13.9609E-06        27.9218E-06        41.8827E-06        55.8436E-06        69.8045E-06        83.7654E-06        97.7263E-06       111.687E-06  
               62.8043            14.0926E-06        28.1852E-06        42.2778E-06        56.3704E-06        70.463E-06         84.5555E-06        98.6481E-06       112.741E-06  
               63.3913            14.2243E-06        28.4486E-06        42.6729E-06        56.8972E-06        71.1215E-06        85.3457E-06        99.57E-06         113.794E-06  
               63.9783            14.356E-06         28.712E-06         43.068E-06         57.424E-06         71.7799E-06        86.1359E-06       100.492E-06        114.848E-06  
               64.5652            14.4877E-06        28.9754E-06        43.4631E-06        57.9507E-06        72.4384E-06        86.9261E-06       101.414E-06        115.901E-06  
               65.1522            14.6194E-06        29.2388E-06        43.8581E-06        58.4775E-06        73.0969E-06        87.7163E-06       102.336E-06        116.955E-06  
               65.7391            14.7511E-06        29.5022E-06        44.2532E-06        59.0043E-06        73.7554E-06        88.5065E-06       103.258E-06        118.009E-06  
               66.3261            14.8828E-06        29.7655E-06        44.6483E-06        59.5311E-06        74.4138E-06        89.2966E-06       104.179E-06        119.062E-06  
               66.913             15.0145E-06        30.0289E-06        45.0434E-06        60.0578E-06        75.0723E-06        90.0868E-06       105.101E-06        120.116E-06  
               67.5               15.1462E-06        30.2923E-06        45.4385E-06        60.5846E-06        75.7308E-06        90.8769E-06       106.023E-06        121.169E-06  
               68.087             15.2778E-06        30.5557E-06        45.8335E-06        61.1114E-06        76.3892E-06        91.6671E-06       106.945E-06        122.223E-06  
               68.6739            15.4095E-06        30.8191E-06        46.2286E-06        61.6381E-06        77.0477E-06        92.4572E-06       107.867E-06        123.276E-06  
               69.2609            15.5412E-06        31.0824E-06        46.6237E-06        62.1649E-06        77.7061E-06        93.2473E-06       108.789E-06        124.33E-06   
               69.8478            15.6729E-06        31.3458E-06        47.0187E-06        62.6916E-06        78.3645E-06        94.0374E-06       109.71E-06         125.383E-06  
               70.4348            15.8046E-06        31.6092E-06        47.4138E-06        63.2184E-06        79.0229E-06        94.8275E-06       110.632E-06        126.437E-06  
               71.0217            15.9363E-06        31.8725E-06        47.8088E-06        63.7451E-06        79.6814E-06        95.6176E-06       111.554E-06        127.49E-06   
               71.6087            16.0679E-06        32.1359E-06        48.2039E-06        64.2718E-06        80.3398E-06        96.4077E-06       112.476E-06        128.544E-06  
               72.1957            16.1996E-06        32.3993E-06        48.5989E-06        64.7985E-06        80.9981E-06        97.1978E-06       113.397E-06        129.597E-06  
               72.7826            16.3313E-06        32.6626E-06        48.9939E-06        65.3252E-06        81.6565E-06        97.9878E-06       114.319E-06        130.65E-06   
               73.3696            16.463E-06         32.9259E-06        49.3889E-06        65.8519E-06        82.3149E-06        98.7778E-06       115.241E-06        131.704E-06  
               73.9565            16.5946E-06        33.1893E-06        49.7839E-06        66.3785E-06        82.9732E-06        99.5678E-06       116.162E-06        132.757E-06  
               74.5435            16.7263E-06        33.4526E-06        50.1789E-06        66.9052E-06        83.6315E-06       100.358E-06        117.084E-06        133.81E-06   
               75.1304            16.858E-06         33.7159E-06        50.5739E-06        67.4318E-06        84.2898E-06       101.148E-06        118.006E-06        134.864E-06  
               75.7174            16.9896E-06        33.9792E-06        50.9688E-06        67.9585E-06        84.9481E-06       101.938E-06        118.927E-06        135.917E-06  
               76.3043            17.1213E-06        34.2425E-06        51.3638E-06        68.4851E-06        85.6063E-06       102.728E-06        119.849E-06        136.97E-06   
               76.8913            17.2529E-06        34.5058E-06        51.7587E-06        69.0116E-06        86.2645E-06       103.517E-06        120.77E-06         138.023E-06  
               77.4783            17.3845E-06        34.7691E-06        52.1536E-06        69.5382E-06        86.9227E-06       104.307E-06        121.692E-06        139.076E-06  
               78.0652            17.5162E-06        35.0324E-06        52.5485E-06        70.0647E-06        87.5809E-06       105.097E-06        122.613E-06        140.129E-06  
               78.6522            17.6478E-06        35.2956E-06        52.9434E-06        70.5912E-06        88.239E-06        105.887E-06        123.535E-06        141.182E-06  
               79.2391            17.7794E-06        35.5589E-06        53.3383E-06        71.1177E-06        88.8971E-06       106.677E-06        124.456E-06        142.235E-06  
               79.8261            17.911E-06         35.8221E-06        53.7331E-06        71.6441E-06        89.5552E-06       107.466E-06        125.377E-06        143.288E-06  
               80.413             18.0426E-06        36.0853E-06        54.1279E-06        72.1705E-06        90.2132E-06       108.256E-06        126.298E-06        144.341E-06  
               81.                18.1742E-06        36.3484E-06        54.5227E-06        72.6969E-06        90.8711E-06       109.045E-06        127.22E-06         145.394E-06  
               81.587             18.3058E-06        36.6116E-06        54.9174E-06        73.2232E-06        91.529E-06        109.835E-06        128.141E-06        146.446E-06  
               82.1739            18.4374E-06        36.8747E-06        55.3121E-06        73.7495E-06        92.1869E-06       110.624E-06        129.062E-06        147.499E-06  
               82.7609            18.5689E-06        37.1379E-06        55.7068E-06        74.2757E-06        92.8447E-06       111.414E-06        129.983E-06        148.551E-06  
               83.3478            18.7005E-06        37.4009E-06        56.1014E-06        74.8019E-06        93.5024E-06       112.203E-06        130.903E-06        149.604E-06  
               83.9348            18.832E-06         37.664E-06         56.496E-06         75.328E-06         94.16E-06         112.992E-06        131.824E-06        150.656E-06  
               84.5217            18.9635E-06        37.927E-06         56.8905E-06        75.854E-06         94.8175E-06       113.781E-06        132.745E-06        151.708E-06  
               85.1087            19.095E-06         38.19E-06          57.285E-06         76.38E-06          95.475E-06        114.57E-06         133.665E-06        152.76E-06   
               85.6957            19.2265E-06        38.4529E-06        57.6794E-06        76.9059E-06        96.1323E-06       115.359E-06        134.585E-06        153.812E-06  
               86.2826            19.3579E-06        38.7159E-06        58.0738E-06        77.4317E-06        96.7896E-06       116.148E-06        135.505E-06        154.863E-06  
               86.8696            19.4893E-06        38.9787E-06        58.468E-06         77.9574E-06        97.4467E-06       116.936E-06        136.425E-06        155.915E-06  
               87.4565            19.6208E-06        39.2415E-06        58.8623E-06        78.483E-06         98.1038E-06       117.725E-06        137.345E-06        156.966E-06  
               88.0435            19.7521E-06        39.5042E-06        59.2563E-06        79.0085E-06        98.7606E-06       118.513E-06        138.265E-06        158.017E-06  
               88.6304            19.8835E-06        39.7669E-06        59.6504E-06        79.5339E-06        99.4173E-06       119.301E-06        139.184E-06        159.068E-06  
               89.2174            20.0148E-06        40.0295E-06        60.0443E-06        80.059E-06        100.074E-06        120.089E-06        140.103E-06        160.118E-06  
               89.8043            20.146E-06         40.2921E-06        60.4381E-06        80.5842E-06       100.73E-06         120.876E-06        141.022E-06        161.168E-06  
               90.3913            20.2773E-06        40.5545E-06        60.8318E-06        81.109E-06        101.386E-06        121.664E-06        141.941E-06        162.218E-06  
               90.9783            20.4085E-06        40.8169E-06        61.2254E-06        81.6338E-06       102.042E-06        122.451E-06        142.859E-06        163.268E-06  
               91.5652            20.5396E-06        41.0792E-06        61.6187E-06        82.1583E-06       102.698E-06        123.237E-06        143.777E-06        164.317E-06  
               92.1522            20.6707E-06        41.3414E-06        62.012E-06         82.6827E-06       103.353E-06        124.024E-06        144.695E-06        165.365E-06  
               92.7391            20.8017E-06        41.6034E-06        62.4051E-06        83.2067E-06       104.008E-06        124.81E-06         145.612E-06        166.413E-06  
               93.3261            20.9327E-06        41.8653E-06        62.798E-06         83.7307E-06       104.663E-06        125.596E-06        146.529E-06        167.461E-06  
               93.913             21.0635E-06        42.1271E-06        63.1906E-06        84.2542E-06       105.318E-06        126.381E-06        147.445E-06        168.508E-06  
               94.5               21.1944E-06        42.3888E-06        63.5831E-06        84.7775E-06       105.972E-06        127.166E-06        148.361E-06        169.555E-06  
               95.087             21.3251E-06        42.6502E-06        63.9753E-06        85.3004E-06       106.625E-06        127.951E-06        149.276E-06        170.601E-06  
               95.6739            21.4558E-06        42.9115E-06        64.3673E-06        85.8231E-06       107.279E-06        128.735E-06        150.19E-06         171.646E-06  
               96.2609            21.5863E-06        43.1726E-06        64.7589E-06        86.3452E-06       107.931E-06        129.518E-06        151.104E-06        172.69E-06   
               96.8478            21.7168E-06        43.4335E-06        65.1503E-06        86.8671E-06       108.584E-06        130.301E-06        152.017E-06        173.734E-06  
               97.4348            21.8471E-06        43.6941E-06        65.5412E-06        87.3882E-06       109.235E-06        131.082E-06        152.929E-06        174.776E-06  
               98.0217            21.9773E-06        43.9546E-06        65.9319E-06        87.9092E-06       109.887E-06        131.864E-06        153.841E-06        175.818E-06  
               98.6087            22.1073E-06        44.2146E-06        66.3219E-06        88.4292E-06       110.537E-06        132.644E-06        154.751E-06        176.858E-06  
               99.1957            22.2373E-06        44.4746E-06        66.7118E-06        88.9491E-06       111.186E-06        133.424E-06        155.661E-06        177.898E-06  
               99.7826            22.3669E-06        44.7339E-06        67.1008E-06        89.4678E-06       111.835E-06        134.202E-06        156.569E-06        178.936E-06  
              100.37              22.4966E-06        44.9932E-06        67.4898E-06        89.9863E-06       112.483E-06        134.98E-06         157.476E-06        179.973E-06  
              100.957             22.6259E-06        45.2517E-06        67.8776E-06        90.5034E-06       113.129E-06        135.755E-06        158.381E-06        181.007E-06  
              101.543             22.7551E-06        45.5102E-06        68.2653E-06        91.0204E-06       113.775E-06        136.531E-06        159.286E-06        182.041E-06  
              102.13              22.8839E-06        45.7678E-06        68.6517E-06        91.5356E-06       114.419E-06        137.303E-06        160.187E-06        183.071E-06  
              102.717             23.0127E-06        46.0253E-06        69.038E-06         92.0507E-06       115.063E-06        138.076E-06        161.089E-06        184.101E-06  
              103.304             23.1409E-06        46.2818E-06        69.4227E-06        92.5636E-06       115.704E-06        138.845E-06        161.986E-06        185.127E-06  
              103.891             23.2691E-06        46.5382E-06        69.8073E-06        93.0764E-06       116.346E-06        139.615E-06        162.884E-06        186.153E-06  
              104.478             23.3966E-06        46.7933E-06        70.1899E-06        93.5866E-06       116.983E-06        140.38E-06         163.776E-06        187.173E-06  
              105.065             23.5242E-06        47.0484E-06        70.5725E-06        94.0967E-06       117.621E-06        141.145E-06        164.669E-06        188.193E-06  
              105.652             23.6509E-06        47.3018E-06        70.9527E-06        94.6036E-06       118.254E-06        141.905E-06        165.556E-06        189.207E-06  
              106.239             23.7776E-06        47.5553E-06        71.3329E-06        95.1105E-06       118.888E-06        142.666E-06        166.443E-06        190.221E-06  
              106.826             23.9034E-06        47.8067E-06        71.7101E-06        95.6135E-06       119.517E-06        143.42E-06         167.324E-06        191.227E-06  
              107.413             24.0292E-06        48.0583E-06        72.0874E-06        96.1166E-06       120.146E-06        144.175E-06        168.204E-06        192.233E-06  
              108.                24.1537E-06        48.3074E-06        72.4611E-06        96.6148E-06       120.769E-06        144.922E-06        169.076E-06        193.23E-06   
              108.587             24.2783E-06        48.5567E-06        72.835E-06         97.1134E-06       121.392E-06        145.67E-06         169.948E-06        194.227E-06  
              109.174             24.4015E-06        48.803E-06         73.2045E-06        97.606E-06        122.007E-06        146.409E-06        170.81E-06         195.212E-06  
              109.761             24.5248E-06        49.0495E-06        73.5743E-06        98.0991E-06       122.624E-06        147.149E-06        171.673E-06        196.198E-06  
              110.348             24.6462E-06        49.2924E-06        73.9386E-06        98.5849E-06       123.231E-06        147.877E-06        172.524E-06        197.17E-06   
              110.935             24.7679E-06        49.5357E-06        74.3036E-06        99.0715E-06       123.839E-06        148.607E-06        173.375E-06        198.143E-06  
              111.522             24.8873E-06        49.7746E-06        74.6618E-06        99.5491E-06       124.436E-06        149.324E-06        174.211E-06        199.098E-06  
              112.109             25.007E-06         50.014E-06         75.021E-06        100.028E-06        125.035E-06        150.042E-06        175.049E-06        200.056E-06  
              112.696             25.124E-06         50.2479E-06        75.3719E-06       100.496E-06        125.62E-06         150.744E-06        175.868E-06        200.992E-06  
              113.283             25.2414E-06        50.4828E-06        75.7241E-06       100.966E-06        126.207E-06        151.448E-06        176.69E-06         201.931E-06  
              113.87              25.3554E-06        50.7109E-06        76.0663E-06       101.422E-06        126.777E-06        152.133E-06        177.488E-06        202.844E-06  
              114.457             25.4701E-06        50.9403E-06        76.4104E-06       101.881E-06        127.351E-06        152.821E-06        178.291E-06        203.761E-06  
              115.043             25.5807E-06        51.1614E-06        76.742E-06        102.323E-06        127.903E-06        153.484E-06        179.065E-06        204.645E-06  
              115.63              25.6922E-06        51.3844E-06        77.0766E-06       102.769E-06        128.461E-06        154.153E-06        179.845E-06        205.538E-06  
              116.217             25.7985E-06        51.5971E-06        77.3956E-06       103.194E-06        128.993E-06        154.791E-06        180.59E-06         206.388E-06  
              116.804             25.9064E-06        51.8127E-06        77.7191E-06       103.625E-06        129.532E-06        155.438E-06        181.345E-06        207.251E-06  
              117.391             26.0077E-06        52.0153E-06        78.023E-06        104.031E-06        130.038E-06        156.046E-06        182.054E-06        208.061E-06  
              117.978             26.1113E-06        52.2226E-06        78.334E-06        104.445E-06        130.557E-06        156.668E-06        182.779E-06        208.891E-06  
              118.565             26.2066E-06        52.4132E-06        78.6199E-06       104.826E-06        131.033E-06        157.24E-06         183.446E-06        209.653E-06  
