X	E33_3D40N1F	E33_3D40N2F	E33_3D40N3F	E33_3D40N4F	E33_3D40N5F
27.8804	NoValue	3.99E-05	NoValue	4.80E-05	NoValue
28.1739	NoValue	NoValue	NoValue	NoValue	5.06E-05
28.3696	NoValue	NoValue	4.58E-05	NoValue	NoValue
28.6141	NoValue	NoValue	NoValue	4.93E-05	NoValue
28.7609	NoValue	NoValue	NoValue	NoValue	5.16E-05
29.3478	7.12E-09	4.20E-05	4.74E-05	5.06E-05	5.27E-05
29.9348	NoValue	NoValue	NoValue	NoValue	5.37E-05
30.0815	NoValue	NoValue	NoValue	5.18E-05	NoValue
30.3261	NoValue	NoValue	4.90E-05	NoValue	NoValue
30.5217	NoValue	NoValue	NoValue	NoValue	5.48E-05
30.8152	NoValue	4.41E-05	NoValue	5.31E-05	NoValue
31.1087	NoValue	NoValue	NoValue	NoValue	5.59E-05
31.3043	NoValue	NoValue	5.05E-05	NoValue	NoValue
31.5489	NoValue	NoValue	NoValue	5.44E-05	NoValue
31.6957	NoValue	NoValue	NoValue	NoValue	5.69E-05
32.2826	-5.91E-09	4.62E-05	5.21E-05	5.56E-05	5.80E-05
32.8696	NoValue	NoValue	NoValue	NoValue	5.90E-05
33.0163	NoValue	NoValue	NoValue	5.69E-05	NoValue
33.2609	NoValue	NoValue	5.37E-05	NoValue	NoValue
33.4565	NoValue	NoValue	NoValue	NoValue	6.01E-05
33.75	NoValue	4.83E-05	NoValue	5.82E-05	NoValue
34.0435	NoValue	NoValue	NoValue	NoValue	6.11E-05
34.2391	NoValue	NoValue	5.53E-05	NoValue	NoValue
34.4837	NoValue	NoValue	NoValue	5.94E-05	NoValue
34.6304	NoValue	NoValue	NoValue	NoValue	6.22E-05
35.2174	5.43E-09	5.04E-05	5.68E-05	6.07E-05	6.32E-05
35.8043	NoValue	NoValue	NoValue	NoValue	6.43E-05
35.9511	NoValue	NoValue	NoValue	6.19E-05	NoValue
36.1957	NoValue	NoValue	5.84E-05	NoValue	NoValue
36.3913	NoValue	NoValue	NoValue	NoValue	6.53E-05
36.6848	NoValue	5.25E-05	NoValue	6.32E-05	NoValue
36.9783	NoValue	NoValue	NoValue	NoValue	6.64E-05
37.1739	NoValue	NoValue	6.00E-05	NoValue	NoValue
37.4185	NoValue	NoValue	NoValue	6.45E-05	NoValue
37.5652	NoValue	NoValue	NoValue	NoValue	6.74E-05
38.1522	-4.60E-09	5.46E-05	6.16E-05	6.57E-05	6.85E-05
38.7391	NoValue	NoValue	NoValue	NoValue	6.95E-05
38.8859	NoValue	NoValue	NoValue	6.70E-05	NoValue
39.1304	NoValue	NoValue	6.32E-05	NoValue	NoValue
39.3261	NoValue	NoValue	NoValue	NoValue	7.06E-05
39.6196	NoValue	5.67E-05	NoValue	6.83E-05	NoValue
39.913	NoValue	NoValue	NoValue	NoValue	7.17E-05
40.1087	NoValue	NoValue	6.47E-05	NoValue	NoValue
40.3533	NoValue	NoValue	NoValue	6.95E-05	NoValue
40.5	NoValue	NoValue	NoValue	NoValue	7.27E-05
41.087	4.04E-09	5.88E-05	6.63E-05	7.08E-05	7.38E-05
41.6739	NoValue	NoValue	NoValue	NoValue	7.48E-05
41.8207	NoValue	NoValue	NoValue	7.21E-05	NoValue
42.0652	NoValue	NoValue	6.79E-05	NoValue	NoValue
42.2609	NoValue	NoValue	NoValue	NoValue	7.59E-05
42.5543	NoValue	6.09E-05	NoValue	7.33E-05	NoValue
42.8478	NoValue	NoValue	NoValue	NoValue	7.69E-05
43.0435	NoValue	NoValue	6.95E-05	NoValue	NoValue
43.288	NoValue	NoValue	NoValue	7.46E-05	NoValue
43.4348	NoValue	NoValue	NoValue	NoValue	7.80E-05
44.0217	-3.45E-09	6.30E-05	7.11E-05	7.58E-05	7.90E-05
44.6087	NoValue	NoValue	NoValue	NoValue	8.01E-05
44.7554	NoValue	NoValue	NoValue	7.71E-05	NoValue
45	NoValue	NoValue	7.26E-05	NoValue	NoValue
45.1957	NoValue	NoValue	NoValue	NoValue	8.11E-05
45.4891	NoValue	6.51E-05	NoValue	7.84E-05	NoValue
45.7826	NoValue	NoValue	NoValue	NoValue	8.22E-05
45.9783	NoValue	NoValue	7.42E-05	NoValue	NoValue
46.2228	NoValue	NoValue	NoValue	7.96E-05	NoValue
46.3696	NoValue	NoValue	NoValue	NoValue	8.32E-05
46.9565	2.92E-09	6.72E-05	7.58E-05	8.09E-05	8.43E-05
47.5435	NoValue	NoValue	NoValue	NoValue	8.53E-05
47.6902	NoValue	NoValue	NoValue	8.22E-05	NoValue
47.9348	NoValue	NoValue	7.74E-05	NoValue	NoValue
48.1304	NoValue	NoValue	NoValue	NoValue	8.64E-05
48.4239	NoValue	6.93E-05	NoValue	8.34E-05	NoValue
48.7174	NoValue	NoValue	NoValue	NoValue	8.75E-05
48.913	NoValue	NoValue	7.90E-05	NoValue	NoValue
49.1576	NoValue	NoValue	NoValue	8.47E-05	NoValue
49.3043	NoValue	NoValue	NoValue	NoValue	8.85E-05
49.8913	-2.42E-09	7.14E-05	8.05E-05	8.60E-05	8.96E-05
50.4783	NoValue	NoValue	NoValue	NoValue	9.06E-05
50.625	NoValue	NoValue	NoValue	8.72E-05	NoValue
50.8696	NoValue	NoValue	8.21E-05	NoValue	NoValue
51.0652	NoValue	NoValue	NoValue	NoValue	9.17E-05
51.3587	NoValue	7.35E-05	NoValue	8.85E-05	NoValue
51.6522	NoValue	NoValue	NoValue	NoValue	9.27E-05
51.8478	NoValue	NoValue	8.37E-05	NoValue	NoValue
52.0924	NoValue	NoValue	NoValue	8.97E-05	NoValue
