
                  X             E11_1D40N10F       E11_1D40N20F       E11_1D40N50F      E11_1D40N100F  
              278.                67.1104E-06        67.1104E-06        67.1104E-06        67.1104E-06 
              280.                72.1111E-06        72.1111E-06        72.1111E-06        72.1111E-06 
              285.                84.6131E-06        84.6131E-06        84.6131E-06        84.6131E-06 
              289.                94.6146E-06        94.6146E-06        94.6146E-06        94.6146E-06 
              290.                97.115E-06         97.115E-06         97.115E-06         97.115E-06  
              295.               109.617E-06        109.617E-06        109.617E-06        109.617E-06  
              300.               122.119E-06        122.119E-06        122.119E-06        122.119E-06  
              305.               134.621E-06        134.621E-06        134.621E-06        134.621E-06  
              310.               147.123E-06        147.123E-06        147.123E-06        147.123E-06  
              311.               149.623E-06        149.623E-06        149.623E-06        149.623E-06  
              315.               159.625E-06        159.625E-06        159.625E-06        159.625E-06  
              320.               172.127E-06        172.127E-06        172.127E-06        172.127E-06  
              322.               177.127E-06        177.127E-06        177.127E-06        177.127E-06  
              325.               184.629E-06        184.628E-06        184.629E-06        184.629E-06  
              327.5              190.879E-06        190.879E-06        190.879E-06        190.879E-06  
              330.               197.13E-06         197.13E-06         197.13E-06         197.13E-06   
              333.               204.632E-06        204.632E-06        204.632E-06        204.632E-06  
              335.               209.632E-06        209.632E-06        209.632E-06        209.632E-06  
              340.               222.134E-06        222.134E-06        222.134E-06        222.134E-06  
              344.               232.136E-06        232.136E-06        232.136E-06        232.136E-06  
              345.               234.636E-06        234.636E-06        234.636E-06        234.636E-06  
              350.               247.138E-06        247.138E-06        247.138E-06        247.138E-06  
              355.               259.64E-06         259.64E-06         259.64E-06         259.64E-06   
              360.               272.142E-06        272.142E-06        272.142E-06        272.142E-06  
              365.               284.644E-06        284.644E-06        284.644E-06        284.644E-06  
              366.               287.144E-06        287.144E-06        287.144E-06        287.144E-06  
              370.               297.146E-06        297.146E-06        297.146E-06        297.146E-06  
              375.               309.648E-06        309.648E-06        309.648E-06        309.648E-06  
              377.               314.649E-06        314.649E-06        314.649E-06        314.649E-06  
              380.               322.15E-06         322.15E-06         322.15E-06         322.15E-06   
              382.5              328.401E-06        328.401E-06        328.401E-06        328.401E-06  
              385.               334.652E-06        334.652E-06        334.652E-06        334.652E-06  
              388.               342.153E-06        342.153E-06        342.153E-06        342.153E-06  
              390.               347.154E-06        347.154E-06        347.154E-06        347.154E-06  
              395.               359.656E-06        359.656E-06        359.656E-06        359.656E-06  
              399.               369.657E-06        369.657E-06        369.657E-06        369.657E-06  
              400.               372.157E-06        372.157E-06        372.157E-06        372.157E-06  
              405.               384.659E-06        384.659E-06        384.659E-06        384.659E-06  
              410.               397.161E-06        397.161E-06        397.161E-06        397.161E-06  
              415.               409.663E-06        409.663E-06        409.663E-06        409.663E-06  
              420.               422.165E-06        422.165E-06        422.165E-06        422.165E-06  
              421.               424.666E-06        424.666E-06        424.666E-06        424.666E-06  
              425.               434.667E-06        434.667E-06        434.667E-06        434.667E-06  
              430.               447.169E-06        447.169E-06        447.169E-06        447.169E-06  
              432.               452.17E-06         452.17E-06         452.17E-06         452.17E-06   
              435.               459.671E-06        459.671E-06        459.671E-06        459.671E-06  
              437.5              465.922E-06        465.922E-06        465.922E-06        465.922E-06  
              440.               472.173E-06        472.173E-06        472.173E-06        472.173E-06  
              443.               479.674E-06        479.674E-06        479.674E-06        479.674E-06  
              445.               484.675E-06        484.675E-06        484.675E-06        484.675E-06  
              450.               497.177E-06        497.177E-06        497.177E-06        497.177E-06  
              454.               507.178E-06        507.178E-06        507.178E-06        507.178E-06  
              455.               509.679E-06        509.679E-06        509.679E-06        509.679E-06  
              460.               522.181E-06        522.181E-06        522.181E-06        522.181E-06  
