
                  X             E11_1D5N50F        E11_1D10N50F       E11_1D15N50F       E11_1D20N50F       E11_1D25N50F       E11_1D30N50F       E11_1D35N50F       E11_1D40N50F  
              223.                -8.80136E-06      -17.6027E-06       -26.4041E-06       -35.2054E-06       -44.0068E-06       -52.8082E-06       -61.6095E-06       -70.4109E-06 
              234.                -5.36333E-06      -10.7267E-06       -16.09E-06         -21.4533E-06       -26.8166E-06       -32.18E-06         -37.5433E-06       -42.9066E-06 
              245.                -1.9253E-06        -3.85059E-06       -5.77589E-06       -7.70119E-06       -9.62649E-06      -11.5518E-06       -13.4771E-06       -15.4024E-06 
              256.                 1.51273E-06        3.02547E-06        4.5382E-06         6.05093E-06        7.56367E-06        9.0764E-06        10.5891E-06        12.1019E-06 
              267.                 4.95076E-06        9.90153E-06       14.8523E-06        19.8031E-06        24.7538E-06        29.7046E-06        34.6554E-06        39.6061E-06 
              278.                 8.38879E-06       16.7776E-06        25.1664E-06        33.5552E-06        41.944E-06         50.3328E-06        58.7216E-06        67.1104E-06 
              289.                11.8268E-06        23.6537E-06        35.4805E-06        47.3073E-06        59.1341E-06        70.961E-06         82.7878E-06        94.6146E-06 
              300.                15.2649E-06        30.5297E-06        45.7946E-06        61.0594E-06        76.3243E-06        91.5891E-06       106.854E-06        122.119E-06  
              311.                18.7029E-06        37.4058E-06        56.1087E-06        74.8116E-06        93.5144E-06       112.217E-06        130.92E-06         149.623E-06  
              322.                22.1409E-06        44.2818E-06        66.4228E-06        88.5637E-06       110.705E-06        132.846E-06        154.986E-06        177.127E-06  
              333.                25.5789E-06        51.1579E-06        76.7368E-06       102.316E-06        127.895E-06        153.474E-06        179.053E-06        204.632E-06  
              344.                29.017E-06         58.034E-06         87.0509E-06       116.068E-06        145.085E-06        174.102E-06        203.119E-06        232.136E-06  
              355.                32.455E-06         64.91E-06          97.365E-06        129.82E-06         162.275E-06        194.73E-06         227.185E-06        259.64E-06   
              366.                35.893E-06         71.7861E-06       107.679E-06        143.572E-06        179.465E-06        215.358E-06        251.251E-06        287.144E-06  
              377.                39.3311E-06        78.6621E-06       117.993E-06        157.324E-06        196.655E-06        235.986E-06        275.318E-06        314.649E-06  
              388.                42.7691E-06        85.5382E-06       128.307E-06        171.076E-06        213.846E-06        256.615E-06        299.384E-06        342.153E-06  
              399.                46.2071E-06        92.4143E-06       138.621E-06        184.829E-06        231.036E-06        277.243E-06        323.45E-06         369.657E-06  
              410.                49.6452E-06        99.2903E-06       148.936E-06        198.581E-06        248.226E-06        297.871E-06        347.516E-06        397.161E-06  
              421.                53.0832E-06       106.166E-06        159.25E-06         212.333E-06        265.416E-06        318.499E-06        371.582E-06        424.666E-06  
              432.                56.5212E-06       113.042E-06        169.564E-06        226.085E-06        282.606E-06        339.127E-06        395.649E-06        452.17E-06   
              443.                59.9593E-06       119.919E-06        179.878E-06        239.837E-06        299.796E-06        359.756E-06        419.715E-06        479.674E-06  
              454.                63.3973E-06       126.795E-06        190.192E-06        253.589E-06        316.986E-06        380.384E-06        443.781E-06        507.178E-06  
              465.                66.8353E-06       133.671E-06        200.506E-06        267.341E-06        334.177E-06        401.012E-06        467.847E-06        534.682E-06  
              476.                60.1518E-06       120.304E-06        180.455E-06        240.607E-06        300.759E-06        360.911E-06        421.063E-06        481.214E-06  
              487.                53.4683E-06       106.937E-06        160.405E-06        213.873E-06        267.341E-06        320.81E-06         374.278E-06        427.746E-06  
              498.                46.7847E-06        93.5695E-06       140.354E-06        187.139E-06        233.924E-06        280.708E-06        327.493E-06        374.278E-06  
              509.                40.1012E-06        80.2024E-06       120.304E-06        160.405E-06        200.506E-06        240.607E-06        280.708E-06        320.81E-06   
              520.                33.4177E-06        66.8353E-06       100.253E-06        133.671E-06        167.088E-06        200.506E-06        233.924E-06        267.341E-06  
              531.                26.7341E-06        53.4683E-06        80.2024E-06       106.937E-06        133.671E-06        160.405E-06        187.139E-06        213.873E-06  
              542.                20.0506E-06        40.1012E-06        60.1518E-06        80.2024E-06       100.253E-06        120.304E-06        140.354E-06        160.405E-06  
              553.                13.3671E-06        26.7341E-06        40.1012E-06        53.4683E-06        66.8353E-06        80.2024E-06        93.5694E-06       106.937E-06  
              564.                 6.68353E-06       13.3671E-06        20.0506E-06        26.7341E-06        33.4177E-06        40.1012E-06        46.7847E-06        53.4683E-06 
              575.              -113.687E-15       -227.374E-15       -227.374E-15       -454.747E-15       -454.747E-15       -454.747E-15       -909.495E-15       -909.495E-15  





                  X              U2_1D5N50F        U2_1D10N50F        U2_1D15N50F        U2_1D20N50F        U2_1D25N50F        U2_1D30N50F        U2_1D35N50F        U2_1D40N50F   

                0.                 1.46135E-36        2.92271E-36        4.38406E-36        5.84541E-36        7.30676E-36        8.76812E-36       10.2295E-36        11.6908E-36 
               11.25               6.20819E-03       12.4164E-03        18.6246E-03        24.8328E-03        31.0409E-03        37.2491E-03        43.4573E-03        49.6655E-03 
               22.5               12.1559E-03        24.3118E-03        36.4677E-03        48.6236E-03        60.7795E-03        72.9354E-03        85.0913E-03        97.2472E-03 
               33.75              17.5826E-03        35.1653E-03        52.7479E-03        70.3305E-03        87.9132E-03       105.496E-03        123.078E-03        140.661E-03  
               45.                22.2279E-03        44.4558E-03        66.6838E-03        88.9117E-03       111.14E-03         133.368E-03        155.595E-03        177.823E-03  
