
                  X             E33_3D40N1F        E33_3D40N2F        E33_3D40N3F        E33_3D40N4F        E33_3D40N5F   
               19.5652            -5.69454E-09       28.0386E-06        31.6185E-06        33.7479E-06        35.164E-06  
               19.8098            -7.18707E-09       28.3863E-06        32.0113E-06        34.1683E-06        35.6019E-06 
               19.9565            -8.08261E-09       28.5949E-06        32.2469E-06        34.4201E-06        35.8646E-06 
               20.5435           -11.6647E-09        29.4294E-06        33.1896E-06        35.4273E-06        36.9146E-06 
               21.1304            -7.63049E-09       30.2702E-06        34.1362E-06        36.4367E-06        37.9658E-06 
               21.2772            -6.62193E-09       30.4804E-06        34.3729E-06        36.6891E-06        38.2284E-06 
               21.5217            -4.94099E-09       30.8307E-06        34.7673E-06        37.1091E-06        38.6662E-06 
               21.7174            -3.59625E-09       31.111E-06         35.0819E-06        37.4451E-06        39.0163E-06 
               22.0109            -1.57914E-09       31.5313E-06        35.5538E-06        37.9491E-06        39.5421E-06 
               22.3043           437.97E-12          31.9495E-06        36.0258E-06        38.4539E-06        40.0679E-06 
               22.5                1.78271E-09       32.2282E-06        36.3404E-06        38.7905E-06        40.4182E-06 
               22.7446             3.46364E-09       32.5766E-06        36.7349E-06        39.2111E-06        40.8561E-06 
               22.8913             4.47219E-09       32.7857E-06        36.9715E-06        39.4633E-06        41.1189E-06 
               23.4783             8.50641E-09       33.6219E-06        37.9182E-06        40.4719E-06        42.1707E-06 
               24.0652             5.27463E-09       34.4625E-06        38.863E-06         41.4818E-06        43.2222E-06 
               24.212              4.46669E-09       34.6726E-06        39.0992E-06        41.7343E-06        43.4852E-06 
               24.4565             3.12011E-09       35.0229E-06        39.4928E-06        42.1548E-06        43.9235E-06 
               24.6522             2.04286E-09       35.303E-06         39.8084E-06        42.4912E-06        44.2742E-06 
               24.9457           426.969E-12         35.7233E-06        40.2818E-06        42.9957E-06        44.8001E-06 
               25.2391            -1.18892E-09       36.1421E-06        40.7552E-06        43.5008E-06        45.326E-06  
               25.4348            -2.26618E-09       36.4212E-06        41.0709E-06        43.8375E-06        45.6768E-06 
               25.6793            -3.61275E-09       36.7702E-06        41.4648E-06        44.2584E-06        46.1153E-06 
               25.8261            -4.42069E-09       36.9796E-06        41.7011E-06        44.5108E-06        46.3783E-06 
               26.413             -7.65248E-09       37.8171E-06        42.6465E-06        45.5203E-06        47.4304E-06 
               27.                -4.69753E-09       38.6575E-06        43.5935E-06        46.5306E-06        48.4829E-06 
               27.1467            -3.95879E-09       38.8677E-06        43.8302E-06        46.7832E-06        48.746E-06  
               27.3913            -2.72756E-09       39.2178E-06        44.2248E-06        47.204E-06         49.1845E-06 
               27.587             -1.74258E-09       39.498E-06         44.5401E-06        47.5406E-06        49.5352E-06 
               27.8804          -265.101E-12         39.9182E-06        45.013E-06         48.0455E-06        50.0616E-06 
               28.1739             1.21238E-09       40.3374E-06        45.4859E-06        48.5507E-06        50.5879E-06 
               28.3696             2.19737E-09       40.6168E-06        45.8012E-06        48.8876E-06        50.9388E-06 
               28.6141             3.42859E-09       40.9661E-06        46.1958E-06        49.3086E-06        51.3773E-06 
               28.7609             4.16733E-09       41.1757E-06        46.4326E-06        49.5611E-06        51.6405E-06 
               29.3478             7.12228E-09       42.014E-06         47.3797E-06        50.5713E-06        52.6933E-06 
               29.9348             4.51625E-09       42.8545E-06        48.3259E-06        51.5819E-06        53.746E-06  
               30.0815             3.86473E-09       43.0646E-06        48.5625E-06        51.8345E-06        54.0092E-06 
               30.3261             2.77889E-09       43.4147E-06        48.9567E-06        52.2555E-06        54.4479E-06 
               30.5217             1.9102E-09        43.6949E-06        49.2724E-06        52.5923E-06        54.7989E-06 
               30.8152           607.181E-12         44.1151E-06        49.746E-06         53.0974E-06        55.3254E-06 
               31.1087          -695.838E-12         44.5345E-06        50.2196E-06        53.6028E-06        55.8518E-06 
               31.3043            -1.56452E-09       44.8141E-06        50.5354E-06        53.9397E-06        56.2028E-06 
               31.5489            -2.65037E-09       45.1637E-06        50.9297E-06        54.3609E-06        56.6416E-06 
               31.6957            -3.30188E-09       45.3734E-06        51.1663E-06        54.6135E-06        56.9048E-06 
               32.2826            -5.90791E-09       46.2122E-06        52.1128E-06        55.624E-06         57.9578E-06 
               32.8696            -3.64067E-09       47.0526E-06        53.0601E-06        56.6348E-06        59.011E-06  
               33.0163            -3.07385E-09       47.2627E-06        53.2969E-06        56.8875E-06        59.2743E-06 
               33.2609            -2.12917E-09       47.6129E-06        53.6916E-06        57.3086E-06        59.713E-06  
               33.4565            -1.37342E-09       47.893E-06         54.0072E-06        57.6455E-06        60.0641E-06 
               33.75            -239.79E-12          48.3132E-06        54.4805E-06        58.1508E-06        60.5907E-06 
               34.0435           893.841E-12         48.7329E-06        54.9538E-06        58.6563E-06        61.1173E-06 
               34.2391             1.64959E-09       49.0126E-06        55.2694E-06        58.9933E-06        61.4684E-06 
               34.4837             2.59427E-09       49.3623E-06        55.6641E-06        59.4145E-06        61.9072E-06 
               34.6304             3.16109E-09       49.5721E-06        55.901E-06         59.6672E-06        62.1705E-06 
               35.2174             5.42833E-09       50.4113E-06        56.8483E-06        60.6779E-06        63.2238E-06 
               35.8043             3.4221E-09        51.2517E-06        57.7951E-06        61.6889E-06        64.277E-06  
               35.9511             2.92054E-09       51.4618E-06        58.0318E-06        61.9416E-06        64.5404E-06 
               36.1957             2.08461E-09       51.8119E-06        58.4263E-06        62.3628E-06        64.9793E-06 
               36.3913             1.41587E-09       52.0921E-06        58.7421E-06        62.6998E-06        65.3304E-06 
               36.6848           412.743E-12         52.5123E-06        59.2158E-06        63.2052E-06        65.8571E-06 
               36.9783          -590.367E-12         52.932E-06         59.6895E-06        63.7107E-06        66.3837E-06 
               37.1739            -1.25911E-09       53.2118E-06        60.0053E-06        64.0477E-06        66.7348E-06 
               37.4185            -2.09505E-09       53.5616E-06        60.3998E-06        64.469E-06         67.1738E-06 
               37.5652            -2.5966E-09        53.7715E-06        60.6366E-06        64.7217E-06        67.4371E-06 
               38.1522            -4.60283E-09       54.611E-06         61.5836E-06        65.7326E-06        68.4905E-06 
               38.7391            -2.87335E-09       55.4513E-06        62.5309E-06        66.7437E-06        69.5439E-06 
               38.8859            -2.44098E-09       55.6614E-06        62.7678E-06        66.9964E-06        69.8073E-06 
               39.1304            -1.72036E-09       56.0116E-06        63.1625E-06        67.4177E-06        70.2462E-06 
               39.3261            -1.14387E-09       56.2917E-06        63.4782E-06        67.7547E-06        70.5974E-06 
