
                  X             E33_3D40N1F        E33_3D40N2F        E33_3D40N3F        E33_3D40N4F        E33_3D40N5F   
              146.759             -5.5671E-09       168.671E-06        190.113E-06        203.131E-06        211.587E-06  
              146.765             -5.6247E-09       168.667E-06        190.108E-06        203.124E-06        211.58E-06   
              146.786             -5.85526E-09      168.651E-06        190.088E-06        203.095E-06        211.556E-06  
              147.353           -828.134E-12        167.96E-06         189.56E-06         202.302E-06        210.913E-06  
              147.494            425.91E-12         167.787E-06        189.428E-06        202.105E-06        210.71E-06   
              147.73               2.51341E-09      167.5E-06          189.209E-06        201.842E-06        210.371E-06  
              147.941              4.38535E-09      167.243E-06        188.911E-06        201.606E-06        210.068E-06  
              148.229              6.93982E-09      166.891E-06        188.504E-06        201.284E-06        209.704E-06  
              148.259              7.2015E-09       166.855E-06        188.462E-06        201.241E-06        209.667E-06  
              148.529              9.59883E-09      166.611E-06        188.081E-06        200.843E-06        209.326E-06  
              148.709             11.1922E-09       166.449E-06        187.827E-06        200.578E-06        209.056E-06  
              148.964             13.4537E-09       166.218E-06        187.542E-06        200.203E-06        208.672E-06  
              149.118             14.8122E-09       166.08E-06         187.371E-06        200.008E-06        208.442E-06  
              149.688             19.871E-09        165.564E-06        186.732E-06        199.282E-06        207.652E-06  
              149.699             19.9675E-09       165.554E-06        186.716E-06        199.268E-06        207.637E-06  
              149.706             20.0257E-09       165.549E-06        186.706E-06        199.258E-06        207.628E-06  
              149.732             20.2584E-09       165.525E-06        186.666E-06        199.217E-06        207.586E-06  
              150.294             14.7349E-09       164.737E-06        185.818E-06        198.347E-06        206.702E-06  
              150.434             13.3571E-09       164.541E-06        185.607E-06        198.13E-06         206.493E-06  
              150.668             11.0635E-09       164.214E-06        185.255E-06        197.8E-06          206.144E-06  
              150.882              8.95315E-09      163.913E-06        184.976E-06        197.497E-06        205.823E-06  
              151.169              6.13314E-09      163.51E-06         184.603E-06        197.091E-06        205.352E-06  
              151.205              5.77844E-09      163.46E-06         184.556E-06        197.033E-06        205.293E-06  
              151.471              3.17154E-09      163.16E-06         184.211E-06        196.603E-06        204.858E-06  
              151.647              1.43871E-09      162.96E-06         183.982E-06        196.317E-06        204.577E-06  
              151.904             -1.0908E-09       162.669E-06        183.573E-06        195.899E-06        204.168E-06  
              152.059             -2.61022E-09      162.493E-06        183.327E-06        195.663E-06        203.922E-06  
              152.626             -8.18605E-09      161.851E-06        182.425E-06        194.794E-06        202.955E-06  
              152.639             -8.31458E-09      161.836E-06        182.406E-06        194.774E-06        202.933E-06  
              152.647             -8.39197E-09      161.827E-06        182.395E-06        194.76E-06         202.92E-06   
              152.679             -8.70168E-09      161.792E-06        182.349E-06        194.707E-06        202.867E-06  
              153.235             -4.64333E-09      160.955E-06        181.544E-06        193.768E-06        201.936E-06  
              153.374             -3.631E-09        160.746E-06        181.342E-06        193.533E-06        201.692E-06  
              153.605             -1.9457E-09       160.399E-06        181.008E-06        193.157E-06        201.285E-06  
              153.824           -355.175E-12        160.071E-06        180.647E-06        192.802E-06        200.9E-06    
              154.109              1.72678E-09      159.641E-06        180.174E-06        192.337E-06        200.403E-06  
              154.152              2.03767E-09      159.577E-06        180.103E-06        192.263E-06        200.329E-06  
              154.412              3.93287E-09      159.236E-06        179.673E-06        191.809E-06        199.877E-06  
              154.585              5.19258E-09      159.008E-06        179.387E-06        191.508E-06        199.564E-06  
              154.844              7.08455E-09      158.667E-06        178.982E-06        191.055E-06        199.094E-06  
              155.                 8.22102E-09      158.463E-06        178.739E-06        190.789E-06        198.812E-06  
              155.564             12.331E-09        157.722E-06        177.86E-06         189.829E-06        197.798E-06  
              155.579             12.4423E-09       157.702E-06        177.834E-06        189.803E-06        197.771E-06  
              155.588             12.5092E-09       157.69E-06         177.818E-06        189.786E-06        197.754E-06  
              155.625             12.7771E-09       157.641E-06        177.755E-06        189.72E-06         197.686E-06  
              156.176              8.64774E-09      156.78E-06         176.813E-06        188.731E-06        196.664E-06  
              156.314              7.6177E-09       156.565E-06        176.578E-06        188.485E-06        196.41E-06   
              156.543              5.90292E-09      156.207E-06        176.187E-06        188.081E-06        195.988E-06  
              156.765              4.24298E-09      155.86E-06         175.823E-06        187.69E-06         195.579E-06  
              157.049              2.11424E-09      155.416E-06        175.357E-06        187.188E-06        195.041E-06  
              157.098              1.74565E-09      155.339E-06        175.276E-06        187.098E-06        194.948E-06  
              157.353           -161.661E-12        154.973E-06        174.858E-06        186.631E-06        194.467E-06  
              157.522             -1.42958E-09      154.73E-06         174.58E-06         186.32E-06         194.148E-06  
              157.784             -3.38922E-09      154.355E-06        174.122E-06        185.84E-06         193.655E-06  
              157.941             -4.56642E-09      154.129E-06        173.847E-06        185.556E-06        193.358E-06  
              158.501             -8.76197E-09      153.324E-06        172.866E-06        184.541E-06        192.282E-06  
              158.519             -8.89268E-09      153.299E-06        172.836E-06        184.509E-06        192.248E-06  
              158.529             -8.97118E-09      153.284E-06        172.818E-06        184.49E-06         192.228E-06  
              158.571             -9.28573E-09      153.224E-06        172.747E-06        184.411E-06        192.147E-06  
              159.118             -5.89459E-09      152.349E-06        171.818E-06        183.391E-06        191.1E-06    
              159.254             -5.04872E-09      152.131E-06        171.586E-06        183.137E-06        190.835E-06  
              159.481             -3.64053E-09      151.767E-06        171.201E-06        182.718E-06        190.393E-06  
              159.706             -2.24256E-09      151.407E-06        170.799E-06        182.301E-06        189.954E-06  
              159.989           -485.746E-12        150.953E-06        170.295E-06        181.778E-06        189.404E-06  
              160.045           -139.403E-12        150.864E-06        170.195E-06        181.672E-06        189.295E-06  
              160.294              1.40938E-09      150.487E-06        169.75E-06         181.2E-06          188.81E-06   
              160.46               2.43893E-09      150.236E-06        169.455E-06        180.886E-06        188.484E-06  
              160.724              4.07723E-09      149.837E-06        168.994E-06        180.386E-06        187.964E-06  
              160.882              5.06141E-09      149.598E-06        168.718E-06        180.088E-06        187.652E-06  
              161.439              8.51829E-09      148.756E-06        167.747E-06        179.042E-06        186.556E-06  
              161.459              8.64021E-09      148.726E-06        167.712E-06        179.005E-06        186.517E-06  
              161.471              8.71334E-09      148.708E-06        167.69E-06         178.983E-06        186.494E-06  
              161.518              9.00683E-09      148.637E-06        167.605E-06        178.892E-06        186.4E-06    
              162.059              5.88979E-09      147.756E-06        166.627E-06        177.856E-06        185.324E-06  
              162.194              5.11223E-09      147.536E-06        166.383E-06        177.598E-06        185.056E-06  
              162.418              3.81796E-09      147.17E-06         165.977E-06        177.17E-06         184.61E-06   
              162.647              2.50039E-09      146.798E-06        165.571E-06        176.735E-06        184.156E-06  
              162.929            877.471E-12        146.339E-06        165.071E-06        176.199E-06        183.591E-06  
              162.991            518.23E-12         146.237E-06        164.96E-06         176.079E-06        183.466E-06  
              163.235           -888.932E-12        145.857E-06        164.527E-06        175.607E-06        182.977E-06  
              163.398             -1.82431E-09      145.603E-06        164.238E-06        175.293E-06        182.652E-06  
              163.664             -3.35738E-09      145.189E-06        163.753E-06        174.779E-06        182.119E-06  
              163.824             -4.27834E-09      144.94E-06         163.461E-06        174.472E-06        181.799E-06  
              164.377             -7.46658E-09      144.077E-06        162.45E-06         173.408E-06        180.683E-06  
              164.399             -7.59222E-09      144.043E-06        162.411E-06        173.366E-06        180.639E-06  
              164.412             -7.66766E-09      144.023E-06        162.387E-06        173.341E-06        180.613E-06  
              164.464             -7.97028E-09      143.941E-06        162.293E-06        173.239E-06        180.507E-06  
              165.                -5.24193E-09      143.058E-06        161.329E-06        172.196E-06        179.427E-06  
              165.134             -4.56134E-09      142.838E-06        161.089E-06        171.936E-06        179.156E-06  
              165.356             -3.42848E-09      142.472E-06        160.688E-06        171.505E-06        178.705E-06  
              165.588             -2.24611E-09      142.09E-06         160.261E-06        171.055E-06        178.234E-06  
              165.869           -818.33E-12         141.628E-06        159.746E-06        170.512E-06        177.666E-06  
              165.938           -467.388E-12        141.514E-06        159.619E-06        170.377E-06        177.526E-06  
              166.176            749.639E-12        141.135E-06        159.179E-06        169.91E-06         177.041E-06  
              166.335              1.55861E-09      140.882E-06        158.887E-06        169.599E-06        176.718E-06  
              166.604              2.92476E-09      140.456E-06        158.4E-06          169.074E-06        176.172E-06  
              166.765              3.74546E-09      140.2E-06          158.107E-06        168.76E-06         175.843E-06  
              167.315              6.54569E-09      139.326E-06        157.108E-06        167.688E-06        174.724E-06  
              167.339              6.66785E-09      139.288E-06        157.064E-06        167.641E-06        174.675E-06  
              167.353              6.74121E-09      139.265E-06        157.037E-06        167.613E-06        174.645E-06  
              167.411              7.0355E-09       139.173E-06        156.93E-06         167.499E-06        174.527E-06  
              167.941              4.61556E-09      138.294E-06        155.949E-06        166.457E-06        173.443E-06  
              168.074              4.01189E-09      138.075E-06        155.705E-06        166.197E-06        173.173E-06  
              168.294              3.00706E-09      137.709E-06        155.297E-06        165.765E-06        172.722E-06  
              168.529              1.93199E-09      137.319E-06        154.866E-06        165.303E-06        172.241E-06  
              168.808            659.021E-12        136.856E-06        154.355E-06        164.756E-06        171.668E-06  
              168.884            314.726E-12        136.731E-06        154.217E-06        164.608E-06        171.514E-06  
              169.118           -751.502E-12        136.355E-06        153.789E-06        164.147E-06        171.034E-06  
              169.273             -1.46021E-09      136.105E-06        153.505E-06        163.841E-06        170.716E-06  
              169.543             -2.69392E-09      135.67E-06         153.003E-06        163.307E-06        170.161E-06  
              169.706             -3.43506E-09      135.408E-06        152.701E-06        162.988E-06        169.828E-06  
              170.252             -5.92748E-09      134.529E-06        151.687E-06        161.912E-06        168.705E-06  
              170.278             -6.04686E-09      134.487E-06        151.639E-06        161.861E-06        168.651E-06  
              170.294             -6.11856E-09      134.462E-06        151.61E-06         161.83E-06         168.619E-06  
              170.357             -6.40612E-09      134.36E-06         151.494E-06        161.705E-06        168.489E-06  
              170.882             -4.25717E-09      133.486E-06        150.527E-06        160.667E-06        167.409E-06  
              171.013             -3.72112E-09      133.268E-06        150.286E-06        160.408E-06        167.139E-06  
              171.231             -2.82877E-09      132.906E-06        149.885E-06        159.977E-06        166.69E-06   
              171.471             -1.85038E-09      132.508E-06        149.44E-06         159.505E-06        166.197E-06  
              171.748           -713.908E-12        132.045E-06        148.923E-06        158.957E-06        165.625E-06  
              171.83            -378.33E-12         131.909E-06        148.77E-06         158.794E-06        165.456E-06  
              172.059            556.481E-12        131.538E-06        148.345E-06        158.341E-06        164.985E-06  
              172.211              1.17781E-09      131.292E-06        148.062E-06        158.041E-06        164.672E-06  
              172.483              2.29324E-09      130.849E-06        147.558E-06        157.5E-06          164.109E-06  
              172.647              2.96334E-09      130.583E-06        147.256E-06        157.176E-06        163.771E-06  
              173.19               5.18446E-09      129.702E-06        146.252E-06        156.102E-06        162.651E-06  
              173.218              5.30046E-09      129.656E-06        146.199E-06        156.046E-06        162.592E-06  
              173.235              5.37013E-09      129.628E-06        146.167E-06        156.012E-06        162.557E-06  
              173.304              5.64952E-09      129.517E-06        146.04E-06         155.876E-06        162.416E-06  
              173.824              3.75359E-09      128.651E-06        145.071E-06        154.844E-06        161.341E-06  
              173.953              3.28067E-09      128.435E-06        144.829E-06        154.587E-06        161.073E-06  
              174.169              2.49339E-09      128.075E-06        144.426E-06        154.158E-06        160.626E-06  
              174.412              1.60874E-09      127.67E-06         143.976E-06        153.677E-06        160.125E-06  
              174.688            600.744E-12        127.21E-06         143.464E-06        153.129E-06        159.553E-06  
              174.777            277.764E-12        127.062E-06        143.299E-06        152.953E-06        159.369E-06  
              175.              -536.167E-12        126.697E-06        142.885E-06        152.509E-06        158.907E-06  
              175.148             -1.07714E-09      126.455E-06        142.61E-06         152.214E-06        158.6E-06    
              175.423             -2.07913E-09      126.006E-06        142.097E-06        151.668E-06        158.031E-06  
              175.588             -2.68108E-09      125.737E-06        141.789E-06        151.34E-06         157.689E-06  
              176.128             -4.64772E-09      124.855E-06        140.782E-06        150.268E-06        156.572E-06  
              176.158             -4.75905E-09      124.806E-06        140.725E-06        150.208E-06        156.509E-06  
              176.176             -4.82593E-09      124.776E-06        140.691E-06        150.171E-06        156.471E-06  
              176.25              -5.09405E-09      124.656E-06        140.554E-06        150.025E-06        156.318E-06  
              176.765             -3.41263E-09      123.797E-06        139.597E-06        149.E-06           155.252E-06  
              176.893             -2.99323E-09      123.583E-06        139.359E-06        148.745E-06        154.985E-06  
              177.107             -2.29503E-09      123.227E-06        138.961E-06        148.32E-06         154.542E-06  
              177.353             -1.49106E-09      122.816E-06        138.501E-06        147.83E-06         154.032E-06  
              177.628           -592.282E-12        122.358E-06        137.987E-06        147.283E-06        153.461E-06  
              177.723           -281.441E-12        122.199E-06        137.809E-06        147.093E-06        153.264E-06  
              177.941            430.564E-12        121.841E-06        137.402E-06        146.659E-06        152.812E-06  
              178.086            903.854E-12        121.603E-06        137.131E-06        146.37E-06         152.511E-06  
              178.363              1.80861E-09      121.149E-06        136.615E-06        145.819E-06        151.936E-06  
              178.529              2.35219E-09      120.876E-06        136.305E-06        145.487E-06        151.591E-06  
              179.065              4.10269E-09      119.997E-06        135.307E-06        144.42E-06         150.478E-06  
              179.098              4.20956E-09      119.943E-06        135.246E-06        144.355E-06        150.41E-06   
              179.118              4.27376E-09      119.911E-06        135.209E-06        144.316E-06        150.37E-06   
              179.196              4.53112E-09      119.782E-06        135.062E-06        144.159E-06        150.206E-06  
              179.706              3.04662E-09      118.932E-06        134.109E-06        143.143E-06        149.148E-06  
              179.833              2.67634E-09      118.72E-06         133.872E-06        142.89E-06         148.884E-06  
              180.045              2.05991E-09      118.367E-06        133.476E-06        142.468E-06        148.445E-06  
              180.294              1.3326E-09       117.951E-06        133.01E-06         141.971E-06        147.926E-06  
              180.568            534.727E-12        117.495E-06        132.5E-06          141.425E-06        147.357E-06  
              180.67             238.343E-12        117.325E-06        132.31E-06         141.222E-06        147.146E-06  
              180.882           -381.46E-12         116.975E-06        131.913E-06        140.798E-06        146.704E-06  
              181.024           -793.446E-12        116.742E-06        131.65E-06         140.516E-06        146.41E-06   
              181.303             -1.60688E-09      116.283E-06        131.127E-06        139.959E-06        145.83E-06   
              181.471             -2.09548E-09      116.007E-06        130.813E-06        139.624E-06        145.482E-06  
              182.003             -3.64676E-09      115.13E-06         129.817E-06        138.563E-06        144.375E-06  
              182.038             -3.74845E-09      115.073E-06        129.752E-06        138.493E-06        144.302E-06  
              182.059             -3.80954E-09      115.038E-06        129.713E-06        138.451E-06        144.259E-06  
              182.143             -4.05439E-09      114.9E-06          129.556E-06        138.284E-06        144.084E-06  
              182.647             -2.74141E-09      114.059E-06        128.615E-06        137.277E-06        143.036E-06  
              182.773             -2.41392E-09      113.85E-06         128.38E-06         137.026E-06        142.774E-06  
              182.982             -1.86872E-09      113.501E-06        127.989E-06        136.609E-06        142.339E-06  
              183.235             -1.20965E-09      113.079E-06        127.515E-06        136.103E-06        141.813E-06  
              183.508           -500.034E-12        112.625E-06        127.005E-06        135.56E-06         141.246E-06  
              183.616           -218.079E-12        112.444E-06        126.802E-06        135.344E-06        141.021E-06  
              183.824            322.149E-12        112.102E-06        126.414E-06        134.929E-06        140.589E-06  
              183.961            681.228E-12        111.874E-06        126.156E-06        134.654E-06        140.302E-06  
              184.243              1.41385E-09      111.41E-06         125.63E-06         134.092E-06        139.717E-06  
              184.412              1.85391E-09      111.131E-06        125.314E-06        133.755E-06        139.366E-06  
              184.941              3.23118E-09      110.259E-06        124.326E-06        132.699E-06        138.265E-06  
              184.978              3.32769E-09      110.197E-06        124.257E-06        132.625E-06        138.188E-06  
              185.                 3.38571E-09      110.161E-06        124.215E-06        132.581E-06        138.142E-06  
              185.089              3.61819E-09      110.013E-06        124.048E-06        132.402E-06        137.956E-06  
              185.588              2.45875E-09      109.182E-06        123.114E-06        131.406E-06        136.918E-06  
              185.713              2.16956E-09      108.975E-06        122.881E-06        131.157E-06        136.659E-06  
              185.92               1.68813E-09      108.629E-06        122.493E-06        130.744E-06        136.228E-06  
              186.176              1.09188E-09      108.202E-06        122.013E-06        130.231E-06        135.694E-06  
              186.448            461.706E-12        107.75E-06         121.506E-06        129.69E-06         135.129E-06  
              186.562            194.858E-12        107.559E-06        121.291E-06        129.46E-06         134.89E-06   
              186.765           -275.018E-12        107.224E-06        120.913E-06        129.056E-06        134.47E-06   
              186.899           -587.323E-12        107.002E-06        120.662E-06        128.788E-06        134.19E-06   
              187.183             -1.24615E-09      106.534E-06        120.131E-06        128.221E-06        133.6E-06    
              187.353             -1.64188E-09      106.252E-06        119.812E-06        127.881E-06        133.245E-06  
              187.878             -2.86277E-09      105.384E-06        118.828E-06        126.832E-06        132.152E-06  
              187.918             -2.95397E-09      105.319E-06        118.755E-06        126.753E-06        132.07E-06   
              187.941             -3.00879E-09      105.28E-06         118.71E-06         126.706E-06        132.021E-06  
              188.036             -3.22848E-09      105.124E-06        118.534E-06        126.517E-06        131.824E-06  
              188.529             -2.20473E-09      104.301E-06        117.61E-06         125.531E-06        130.796E-06  
              188.653             -1.94939E-09      104.096E-06        117.38E-06         125.285E-06        130.54E-06   
              188.858             -1.52429E-09      103.755E-06        116.996E-06        124.875E-06        130.113E-06  
              189.118           -984.975E-12        103.322E-06        116.509E-06        124.356E-06        129.572E-06  
              189.388           -425.342E-12        102.872E-06        116.004E-06        123.816E-06        129.01E-06   
              189.509           -173.606E-12        102.67E-06         115.776E-06        123.574E-06        128.757E-06  
              189.706            234.815E-12        102.344E-06        115.407E-06        123.18E-06         128.347E-06  
              189.837            506.263E-12        102.127E-06        115.162E-06        122.919E-06        128.074E-06  
              190.122              1.09871E-09      101.655E-06        114.627E-06        122.348E-06        127.479E-06  
              190.294              1.45457E-09      101.371E-06        114.306E-06        122.005E-06        127.122E-06  
              190.816              2.53682E-09      100.507E-06        113.33E-06         120.962E-06        126.035E-06  
              190.857              2.62276E-09      100.439E-06        113.252E-06        120.879E-06        125.949E-06  
              190.882              2.67436E-09      100.397E-06        113.205E-06        120.829E-06        125.897E-06  
              190.982              2.88129E-09      100.232E-06        113.019E-06        120.63E-06         125.689E-06  
              191.471              1.97773E-09       99.419E-06        112.104E-06        119.654E-06        124.672E-06  
              191.592              1.75233E-09       99.2162E-06       111.875E-06        119.41E-06         124.419E-06  
              191.795              1.3771E-09        98.8785E-06       111.496E-06        119.005E-06        123.996E-06  
              192.059            889.527E-12         98.4397E-06       111.002E-06        118.478E-06        123.447E-06  
              192.327            392.693E-12         97.9925E-06       110.499E-06        117.941E-06        122.888E-06  
              192.455            155.976E-12         97.7795E-06       110.26E-06         117.686E-06        122.621E-06  
              192.647           -198.676E-12         97.4619E-06       109.901E-06        117.302E-06        122.222E-06  
              192.774           -434.376E-12         97.2509E-06       109.663E-06        117.048E-06        121.957E-06  
              193.062           -966.947E-12         96.7741E-06       109.123E-06        116.472E-06        121.357E-06  
              193.235             -1.28685E-09       96.4877E-06       108.799E-06        116.127E-06        120.997E-06  
              193.754             -2.24588E-09       95.6291E-06       107.828E-06        115.09E-06         119.917E-06  
              193.797             -2.32659E-09       95.5568E-06       107.747E-06        115.003E-06        119.827E-06  
              193.824             -2.37505E-09       95.5134E-06       107.698E-06        114.951E-06        119.772E-06  
              193.929             -2.56937E-09       95.3395E-06       107.501E-06        114.741E-06        119.553E-06  
              194.412             -1.77223E-09       94.5353E-06       106.596E-06        113.775E-06        118.547E-06  
              194.532             -1.57338E-09       94.3347E-06       106.371E-06        113.534E-06        118.296E-06  
              194.733             -1.24235E-09       94.0008E-06       105.995E-06        113.133E-06        117.878E-06  
              195.              -801.768E-12         93.5563E-06       105.495E-06        112.599E-06        117.322E-06  
              195.267           -360.855E-12         93.1115E-06       104.994E-06        112.065E-06        116.765E-06  
              195.402           -138.926E-12         92.8876E-06       104.742E-06        111.796E-06        116.485E-06  
              195.588            168.693E-12         92.5786E-06       104.393E-06        111.423E-06        116.096E-06  
              195.712            373.152E-12         92.3732E-06       104.161E-06        111.175E-06        115.838E-06  
              196.002            851.674E-12         91.8924E-06       103.618E-06        110.596E-06        115.234E-06  
              196.176              1.13913E-09       91.6037E-06       103.291E-06        110.247E-06        114.871E-06  
              196.691              1.98863E-09       90.7502E-06       102.327E-06        109.218E-06        113.798E-06  
              196.737              2.0642E-09        90.6743E-06       102.241E-06        109.126E-06        113.703E-06  
              196.765              2.10959E-09       90.6287E-06       102.19E-06         109.071E-06        113.646E-06  
              196.875              2.29154E-09       90.4459E-06       101.983E-06        108.851E-06        113.416E-06  
              197.353              1.58845E-09       89.6508E-06       101.088E-06        107.895E-06        112.42E-06   
              197.472              1.41304E-09       89.4524E-06       100.864E-06        107.657E-06        112.172E-06  
              197.671              1.12109E-09       89.1222E-06       100.493E-06        107.26E-06         111.759E-06  
              197.941            723.074E-12         88.6721E-06        99.986E-06        106.719E-06        111.195E-06  
              198.207            331.838E-12         88.2296E-06        99.488E-06        106.188E-06        110.641E-06  
              198.348            124.266E-12         87.9949E-06        99.2237E-06       105.906E-06        110.347E-06  
              198.529           -142.297E-12         87.6944E-06        98.8844E-06       105.543E-06        109.97E-06   
              198.65            -319.475E-12         87.4947E-06        98.6589E-06       105.302E-06        109.719E-06  
              198.942           -749.388E-12         87.0101E-06        98.1114E-06       104.718E-06        109.11E-06   
              199.118             -1.00765E-09       86.719E-06         97.7825E-06       104.367E-06        108.744E-06  
              199.629             -1.76002E-09       85.8709E-06        96.8244E-06       103.345E-06        107.679E-06  
              199.677             -1.83061E-09       85.7913E-06        96.7345E-06       103.249E-06        107.579E-06  
              199.706             -1.87302E-09       85.7435E-06        96.6805E-06       103.191E-06        107.519E-06  
              199.821             -2.04299E-09       85.5519E-06        96.4642E-06       102.96E-06         107.278E-06  
              200.294             -1.42306E-09       84.7657E-06        95.5789E-06       102.015E-06        106.293E-06  
              200.412             -1.26841E-09       84.5696E-06        95.3581E-06       101.779E-06        106.048E-06  
              200.608             -1.01099E-09       84.2431E-06        94.9905E-06       101.387E-06        105.639E-06  
              200.882           -651.58E-12          83.7873E-06        94.4771E-06       100.839E-06        105.068E-06  
              201.147           -304.512E-12         83.3472E-06        93.9813E-06       100.31E-06         104.516E-06  
              201.295           -110.857E-12         83.1016E-06        93.7047E-06       100.015E-06        104.209E-06  
              201.471            119.881E-12         82.8097E-06        93.3751E-06        99.6628E-06       103.842E-06  
              201.588            273.272E-12         82.6157E-06        93.156E-06         99.429E-06        103.599E-06  
              201.882            659.403E-12         82.1273E-06        92.6045E-06        98.8403E-06       102.985E-06  
              202.059            891.361E-12         81.8339E-06        92.2733E-06        98.4867E-06       102.617E-06  
              202.567              1.55754E-09       80.9912E-06        91.3219E-06        97.4711E-06       101.559E-06  
              202.617              1.62332E-09       80.908E-06         91.2279E-06        97.3708E-06       101.454E-06  
              202.647              1.66284E-09       80.858E-06         91.1715E-06        97.3105E-06       101.391E-06  
              202.768              1.82126E-09       80.6577E-06        90.9452E-06        97.069E-06        101.14E-06   
              203.235              1.27475E-09       79.8804E-06        90.0695E-06        96.1344E-06       100.166E-06  
              203.352              1.13842E-09       79.6865E-06        89.851E-06         95.9012E-06        99.9228E-06 
              203.546            911.492E-12         79.3637E-06        89.4874E-06        95.5131E-06        99.5184E-06 
              203.824            587.001E-12         78.9022E-06        88.9675E-06        94.9582E-06        98.9402E-06 
              204.087            279.138E-12         78.4643E-06        88.4743E-06        94.4317E-06        98.3916E-06 
              204.241             98.8301E-12        78.2079E-06        88.1855E-06        94.1233E-06        98.0703E-06 
              204.412           -100.727E-12         77.9247E-06        87.8658E-06        93.782E-06         97.7146E-06 
              204.525           -233.385E-12         77.7364E-06        87.6532E-06        93.5552E-06        97.4783E-06 
              204.822           -580.157E-12         77.2442E-06        87.0976E-06        92.9621E-06        96.8603E-06 
              205.              -788.474E-12         76.9485E-06        86.7638E-06        92.6058E-06        96.4891E-06 
              205.504             -1.37826E-09       76.1114E-06        85.8187E-06        91.5972E-06        95.4381E-06 
              205.557             -1.43945E-09       76.0246E-06        85.7207E-06        91.4925E-06        95.3291E-06 
              205.588             -1.47622E-09       75.9724E-06        85.6618E-06        91.4296E-06        95.2635E-06 
              205.714             -1.62358E-09       75.7632E-06        85.4257E-06        91.1776E-06        95.0009E-06 
              206.176             -1.14192E-09       74.9948E-06        84.5599E-06        90.2535E-06        94.038E-06  
              206.292             -1.02177E-09       74.8031E-06        84.344E-06         90.0229E-06        93.7978E-06 
              206.484           -821.777E-12         74.4841E-06        83.9845E-06        89.6392E-06        93.3979E-06 
              206.765           -528.903E-12         74.0168E-06        83.458E-06         89.0772E-06        92.8124E-06 
              207.027           -255.842E-12         73.5812E-06        82.9671E-06        88.5533E-06        92.2665E-06 
              207.188            -88.304E-12         73.3139E-06        82.6659E-06        88.2319E-06        91.9315E-06 
              207.353             84.1001E-12        73.0393E-06        82.356E-06         87.9011E-06        91.5868E-06 
              207.463            198.702E-12         72.8568E-06        82.15E-06          87.6812E-06        91.3577E-06 
              207.762            510.07E-12          72.3609E-06        81.5903E-06        87.0837E-06        90.7352E-06 
              207.941            697.119E-12         72.063E-06         81.2541E-06        86.7248E-06        90.3612E-06 
              208.442              1.21918E-09       71.2315E-06        80.3157E-06        85.7231E-06        89.3175E-06 
              208.497              1.276E-09         71.141E-06         80.2135E-06        85.6141E-06        89.2039E-06 
              208.529              1.31014E-09       71.0866E-06        80.1522E-06        85.5486E-06        89.1357E-06 
              208.661              1.44697E-09       70.8687E-06        79.9062E-06        85.286E-06         88.8621E-06 
              209.118              1.02254E-09       70.1091E-06        79.0502E-06        84.3724E-06        87.9101E-06 
              209.232            916.666E-12         69.9197E-06        78.8366E-06        84.1445E-06        87.6726E-06 
              209.421            740.417E-12         69.6042E-06        78.4812E-06        83.7651E-06        87.2772E-06 
              209.706            476.137E-12         69.1313E-06        77.9482E-06        83.1962E-06        86.6845E-06 
              209.967            233.967E-12         68.6979E-06        77.4598E-06        82.6748E-06        86.1413E-06 
              210.134             78.5397E-12        68.4198E-06        77.1464E-06        82.3402E-06        85.7926E-06 
              210.294            -70.2544E-12        68.1538E-06        76.8463E-06        82.0199E-06        85.4589E-06 
              210.401           -169.158E-12         67.9771E-06        76.6468E-06        81.807E-06         85.237E-06  
              210.702           -448.717E-12         67.4775E-06        76.083E-06         81.2052E-06        84.61E-06   
              210.882           -616.66E-12          67.1773E-06        75.7443E-06        80.8437E-06        84.2333E-06 
              211.38              -1.07875E-09       66.3515E-06        74.8123E-06        79.8489E-06        83.1968E-06 
              211.437             -1.13142E-09       66.2573E-06        74.7061E-06        79.7356E-06        83.0786E-06 
              211.471             -1.16305E-09       66.2008E-06        74.6423E-06        79.6675E-06        83.0077E-06 
              211.607             -1.2899E-09        65.9741E-06        74.3865E-06        79.3944E-06        82.7231E-06 
              212.059           -915.92E-12          65.2234E-06        73.5403E-06        78.4912E-06        81.7821E-06 
              212.171           -822.63E-12          65.0361E-06        73.3293E-06        78.2659E-06        81.5473E-06 
              212.359           -667.33E-12          64.7244E-06        72.9779E-06        77.8909E-06        81.1565E-06 
              212.647           -428.86E-12          64.2457E-06        72.4384E-06        77.315E-06         80.5564E-06 
              212.906           -214.079E-12         63.8145E-06        71.9524E-06        76.7963E-06        80.016E-06  
              213.08             -70.0998E-12        63.5255E-06        71.6266E-06        76.4485E-06        79.6536E-06 
              213.235             58.1877E-12        63.2683E-06        71.3364E-06        76.1387E-06        79.3308E-06 
              213.338            143.456E-12         63.0973E-06        71.1434E-06        75.9328E-06        79.1163E-06 
              213.641            394.459E-12         62.594E-06         70.5755E-06        75.3266E-06        78.4846E-06 
              213.824            545.248E-12         62.2916E-06        70.2344E-06        74.9625E-06        78.1052E-06 
              214.318            954.254E-12         61.4714E-06        69.309E-06         73.9747E-06        77.076E-06  
              214.376              1.00301E-09       61.3737E-06        69.1987E-06        73.8569E-06        76.9533E-06 
              214.412              1.0323E-09        61.3149E-06        69.1324E-06        73.7862E-06        76.8796E-06 
